time,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_circulation,revenue_on_work_capital,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,book_value_per_share_change
2014,0.1827303745859043,0.08077302945116714,22.442108704707003,83.73524282782562,16.109747707807227,9.867791320577464,1430.0312995247255,8302.749408231062,0.47567397124629307,1.2608476902587522,1.5227234658082347,0.6570097187046489,0.013648090847067298,0.16173656513842055,0.05639602259070545,0.03906870437041092,0.9970910931259258,0.35253941857692345,22.817219257190263,2.353455494944941,242.31181802031256,0.22195253565915957,90.1138259292038,86.07336484005577,2.169084980883295,1.2653980239036515,0.05639602259070545,0.905802314633919,1.3037272655341636,-0.0009877607213629744
2015,0.17284678255334404,0.08263987329037724,18.291776324945026,100.02106649992449,16.802865594697906,14.899016682080976,1602.6705187556292,9023.84576272339,0.47563592346771083,1.2238575726729763,1.6113407534461224,0.5606060828182662,-0.09421102810120198,0.19819002523441748,0.0906889138322299,0.03781145139437314,0.9209405403016615,0.3674433202943825,112.67292348197516,2.2508978540440614,414.15947229748775,0.15563201603172694,101.60786337763008,102.57756434648978,1.9948290053237248,-0.10130720953914939,0.0906889138322299,0.4993610659092731,1.238081141070741,0.035471971248443965
2016,0.24606954058801303,0.11318546360853263,16.553845447292083,118.47042615227735,22.29523276747846,15.227562048925565,2033.3833863315056,9355.117118144073,0.4538509767393711,1.4127343788158704,1.6753963792797675,0.5529303452701329,0.03390954467497956,0.1677778338763299,0.06532086501873056,0.021803041573739416,0.9365177564259208,0.36161222451777497,24.455426478539135,2.3414882153023533,608.4880204533825,0.1365653403398181,112.06913114338049,140.18419470416205,2.0090052836608328,1.239506560127288,0.06532086501873056,0.6156331106819198,1.3408371803850438,-0.02672072188514472
2017,0.2444471332988073,0.12089921459204943,22.665462780664594,103.41717932806058,24.771895406470602,4.567597166657401,2899.614513058756,14139.122404762513,0.5171801003371931,1.7109410852171743,2.1284956560875874,0.6977680206151179,0.17920579182467558,0.15241024930558938,0.050711188810858156,0.048676759681878505,0.6631452010401586,0.27885455565184153,59.30883775572186,2.2191350630267013,1568.3024261360615,0.16628198005698486,101.36340856404983,147.9902920715974,2.0094846922994773,1.3164586412538373,0.050711188810858156,0.6194537681363925,1.0846631828995952,0.06406552759975308
2018,0.24050122398728077,0.12291389955881539,25.658083087404062,104.24493785079464,61.71448130929643,32.42664967218719,3821.744143521285,16558.728571645373,0.47130330446154356,1.2316592820959553,1.7576115828790706,0.5790711491066001,0.3337618932412636,0.16585539777947947,0.06263142688542758,0.054785351486748166,0.7429545662298911,0.2882148729379852,104.60833614415128,2.393956791994145,1627.8502544051144,0.14325948211475711,104.18476663016507,124.83557429347394,1.9988172158129176,1.4079151364488207,0.06263142688542758,0.7163781485600206,1.263535790563213,0.05304853018776917
2019,0.2397561601518058,0.12051968639427414,19.648968200303457,122.7219908484113,23.36615461935798,20.65638692353234,4493.064240850759,19285.225021999464,0.467276308300156,1.066897941414371,1.6162638496722355,0.4853459646983777,0.08974879233045072,0.1700139410449472,0.07632772862464622,0.062462060933077296,0.7506503209202627,0.29816634936425096,373.2626292380435,2.410321959202956,2001.6792654981837,0.1037464530369436,119.00758232236836,151.03879607451603,1.880790403717654,1.2590765710402967,0.07632772862464622,1.2061509974900235,1.2623648217499202,0.0581387665793156
2020,0.18428192480120784,0.09738445419147503,67.20012246095226,130.7298755512602,30.7654021420969,23.086940803972997,2940.274503828815,16901.701644585875,0.5254614566321385,1.3876854919648225,1.8486587376316057,0.6310699791423345,-0.0016096729419318209,0.18623869458377904,0.08614856994807948,0.07370508310627945,0.5668538051164909,0.2358429817101868,280.78384274179484,2.098766912016729,2105.900144646684,0.1363692559508733,167.09839655458862,11.424587386060338,1.6397823397142623,0.7726275853855213,0.08614856994807948,1.2188180956221604,0.9809174146435012,0.04240000357601274
2021,0.16428534293307664,0.08493251277178927,65.79068063120789,119.68967389159435,32.943719464426046,66.37760138736044,2825.645036679912,18066.043325503208,0.49382223207977854,1.1799699023504644,1.6992597987829652,0.7109011793602089,0.07175844749375203,0.1667986852422351,0.07967223701951164,0.07125896581564654,0.664937037050056,0.28093499216915846,21.73157639924997,2.273755089375447,2209.2997094259517,0.1349973867854466,150.65659496951986,7.744729939203704,1.451342215650772,0.795096531129935,0.07967223701951164,2.167432220988885,1.214020428632802,0.1063169628548931
2022,0.2309007840038163,0.11570104688041173,75.98272164674945,109.06676531236378,23.33458534238278,21.047377893199933,4285.456356317784,22671.767736441438,0.5665507704010349,1.6061147354046792,2.1725884832166953,0.7479616562124667,-0.057427985374853094,0.1626063006820346,0.06703314536041867,0.058634923597117354,0.4279193961986261,0.22756759856843856,1.2715857912390998,1.9481184601002115,4120.657450265052,0.16022845540463518,159.1121135125864,6.287389423915042,2.0151420508627202,0.7717624759412683,0.06703314536041867,1.1227394313035752,0.8452895953467151,0.005547224061375523
2023,0.15258433559274448,0.09123197785215728,158.43386944046196,142.90889056208385,30.030665885296653,29.670639350477234,3733.1938797375833,23867.307546702596,0.5724034450641001,1.7821519371787218,2.347777936826324,0.8833672588258624,0.09712063938241362,0.16388887232207353,0.06623814030176511,0.06825135636574792,0.4130730500147388,0.22115183778850592,1.8490243838312075,1.9511141185130472,4305.296972438867,0.1489988359525575,270.81150309299596,4.937561397801187,1.6663724784617433,0.7218693275228547,0.06623814030176511,-0.1255394769896597,0.8243207441088878,0.019435766262527836
2024,0.1568235849287199,0.09464324083959662,618.2718890405845,170232.42321081122,28.364040840015477,40.10118508628263,4025.3008702990496,25055.417402029314,0.5664971926099329,1.9257167724247226,2.4648852960473717,0.9347883001287655,-0.00605352993500858,0.16844861699481295,0.051623962259383045,0.08326347570242346,0.4121796122285149,0.189920627653005,3.4285361989015426,1.9708948394457706,4476.420664717262,0.17412482839180446,170821.78132409832,5.334808148106892,1.8556508771373361,0.6692175413082513,0.051623962259383045,1.1352189826531285,0.8490859692610276,-0.0038829524289777893
