time,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014,0.0,0.0,0.0,0.0,0.025,89659.0,1738.0,0.0,0.0,0.4,3.4,3.3,0.027,0.0,0.0,0.0,0.0,0.0,0.0,14319.0,0.116,0.061,0.0,-0.057,0.0,1.3,-0.4,2.8,0.0,0.0
2015,32.1,2.9,-19.4,0.0,0.021,-13381.0,1514.0,16945.0,0.215,0.3,2.1,2.1,-0.108,-2969.0,0.0,0.0,0.0,0.0,4.7,11838.0,0.171,0.054,0.0,-0.059,0.0,1.2,-0.4,3.4,-0.167,-0.031
2016,29.8,3.0,-15.3,0.104,0.02,27744.0,1813.0,17858.0,0.181,0.2,1.8,1.8,0.046,-3563.0,0.0,0.0,0.0,48.2,5.5,13084.0,0.207,0.072,0.0,-0.029,0.0,1.2,-0.4,4.3,0.121,0.02
2017,29.3,3.3,-19.8,0.116,0.019,31588.0,2105.0,18533.0,0.151,0.2,2.0,2.0,0.029,-4393.0,0.0,0.0,0.0,23.4,6.6,22668.0,0.262,0.061,0.0,-0.229,0.0,1.2,-0.4,5.3,-0.01,0.021
2018,59.2,4.3,-15.9,0.075,0.01,199454.0,1441.0,19856.0,0.13,0.2,2.7,2.6,-0.066,-4711.0,0.0,0.0,-0.1,0.3,7.7,43620.0,0.14,0.04,0.0,-0.073,0.0,1.3,-0.4,6.4,-0.007,0.011
2019,45.8,2.6,-10.0,0.064,0.009,-36124.0,1454.0,25688.0,0.149,0.2,3.8,3.8,-0.116,-4684.0,0.0,0.0,-0.2,0.2,6.7,59069.0,0.24,0.138,0.0,-0.121,0.0,1.4,-0.1,5.5,-0.01,0.218
2020,31.1,2.4,-12.2,0.079,0.011,320738.0,2090.0,26961.0,0.136,0.2,4.5,4.5,0.31,-4518.0,0.1,0.0,-0.3,2.8,7.4,72111.0,0.326,0.159,0.0,-0.106,0.0,0.8,-0.6,6.1,-0.038,-0.007
2021,20.2,1.8,-6.1,0.091,0.012,32427.0,2535.0,28527.0,0.125,0.1,4.6,4.6,0.037,-7378.0,0.1,0.0,-0.4,9.4,8.0,77856.0,0.243,0.116,0.0,-0.127,0.0,0.8,-0.5,6.7,0.101,-0.007
2022,22.1,1.7,-5.5,0.074,0.008,-36322.0,2059.0,27478.0,0.101,0.1,3.6,3.6,-0.107,-8176.0,0.1,0.0,-0.3,10.7,9.9,84774.0,0.104,0.066,0.0,-0.061,0.0,0.8,-0.3,8.5,-0.006,-0.084
2023,17.0,1.4,-3.3,0.083,0.008,-50914.0,2320.0,28665.0,0.096,0.1,4.0,4.0,0.01,-8036.0,0.2,0.0,-0.4,2433.2,10.4,91607.0,0.216,0.164,0.0,-0.085,0.0,0.8,-0.3,9.0,0.012,-0.016
2024,17.9,1.4,-5.2,0.083,0.008,-21270.0,2432.0,30000.0,0.095,0.1,3.4,3.4,0.014,-8030.0,0.2,0.0,-0.5,12054.7,10.5,82407.0,0.258,0.186,0.0,-0.108,0.0,0.8,-0.3,9.1,0.016,0.016
