,TSC_capital,TRC_capital,TNC_capital,VFG_capital,TPC_capital,SPC_capital,RDP_capital,PHR_capital,PLC_capital,NFC_capital,HSI_capital,GER_capital,LAS_capital,CPC_capital,HVT_capital,HRC_capital,DTT_capital,DPR_capital,APP_capital,BRC_capital,AAA_capital,DPM_capital,BRR_capital,DRI_capital,HCD_capital,DDV_capital,DGC_capital,ECO_capital,DRG_capital,CSV_capital,DCM_capital,VTZ_capital,HAI_capital,HII_capital,AVG_capital,BFC_capital,DAG_capital,PCH_capital,DHB_capital,ABS_capital,DOC_capital,HPH_capital,LNC_capital,VET_capital,NHH_capital,PMB_capital,PGN_capital,HNP_capital,BT1_capital,PSE_capital,PCN_capital,PSW_capital,QBS_capital,IRC_capital,RBC_capital,PCE_capital,SEP_capital,NSG_capital,SIV_capital,PLP_capital,SJF_capital,SFG_capital,RTB_capital,SBR_capital,VPS_capital,VKP_capital,VAF_capital,PAT_capital,PVO_capital,VNP_capital,VXP_capital,GVR_capital,VNY_capital,VTQ_capital
2014-03-31,0.042702459496494136,0.03217356141123405,0.00837133030251231,0.017655546905425513,0.0057991956378060806,0.003936423705662309,0.013484539810326933,0.06674701170459406,0.0396698221084137,0.008170095353107396,0.002427570266988592,0.00015944041753554705,0.09824782827820207,0.0017738972496418994,0.0037162804087232763,0.04102544709387144,0.001970500471264679,0.03650885861531065,0.0019771483629049172,0.00314194616373877,0.1464480941611731,0.3159964129720419,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,0.08631409991116344,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,0.020536263622251975,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,0.001046225569611245,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20,5.4490915083919e-20
2014-06-30,0.0832733039404685,0.03315182838676477,0.007418241292314094,0.018339263175023417,0.006072723392931772,0.0035993537610189354,0.016683361635557913,0.06799974190925578,0.03845576186682746,0.008209984653721924,0.001968213028244851,0.00018555543700624855,0.0854292412355028,0.0020427364294061264,0.003949680016275862,0.04268329307643865,0.0018920630047461824,0.03795602733761746,0.0021746133292784246,0.0034139790598279526,0.12943853274327508,0.28312343780245003,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,0.10412443347605639,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,0.01769168674892596,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,0.000722943261063306,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20,6.024527175527551e-20
2014-09-30,0.09700891724636698,0.024018276352900304,0.006384573536942875,0.015089736435351697,0.0044256601327359235,0.003562409360433526,0.015295326112331208,0.05662021582257493,0.04026489587558121,0.005895515740456703,0.0013509909878878083,0.0001335462355843121,0.06555840231457556,0.001771111069387716,0.0034318276818759265,0.03147747828379629,0.001825131886318932,0.032999895958165305,0.001957313484541741,0.0024915454833397306,0.11459429307714292,0.21801220616357758,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,0.09400695033336444,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,0.14537891203298167,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,0.015804900525700664,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,0.0006399678660840889,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20,4.7056460741477126e-20
2014-12-31,0.10725319346047255,0.020972962287103217,0.0062308497862688965,0.016263175205774697,0.004252064810546195,0.003253663318265986,0.014236820833968865,0.05152756817882537,0.05209640922390507,0.005781279622312891,0.0010546788206550859,0.000131452722574402,0.06641326892489599,0.0019313545360059336,0.0034850256682515874,0.03464895522645233,0.002548552396578135,0.02966500723430003,0.0018460816458510804,0.0026247931229197367,0.0998712754540851,0.21731325920258224,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,0.08620019230634729,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,0.09943370185642464,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,0.01645090525672397,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,0.03518041700898182,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,0.01881432145452484,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,0.0005187704344021502,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20,4.631878878590627e-20
2015-03-31,0.13280184299594663,0.015887376930865334,0.0049456340300013035,0.014236956632573825,0.0033190898880637886,0.002842327148128853,0.012637900485929207,0.03312493529580638,0.048752069726284576,0.004423057964578201,0.0008657007646186995,0.00011375391689675666,0.05017798572000545,0.0015884107266141696,0.0027267483020840194,0.03058763745090703,0.0018113182181802405,0.02306109737323881,0.0014473969305680233,0.00198947692626119,0.07427282941691499,0.16915119998026035,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,0.07855225024979669,3.801935725158979e-20,3.801935725158979e-20,0.014367895298948297,0.14612527051247926,3.801935725158979e-20,0.07307335671498458,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,0.014122214212388523,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,0.0023999719265066053,3.801935725158979e-20,3.801935725158979e-20,0.024318663653049643,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,0.015880229291702037,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,0.0003954013154165338,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20,3.801935725158979e-20
2015-06-30,0.09931271096724847,0.01633342386334034,0.004649768963727029,0.015038770861162076,0.0028018113391605104,0.0029292923694289406,0.014115216985646379,0.033696192381807544,0.045560907295425286,0.003794057166928096,0.0005853042085367951,0.0001617715798594753,0.04743303088920791,0.0014922670746059638,0.0028005180533461926,0.029795088100477225,0.0013544028067997275,0.02071123329582805,0.0016776503583325485,0.0019519008530143724,0.07444600254592551,0.17567606515943446,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,0.05722457169145157,0.07045067315526636,3.695102326621181e-20,3.695102326621181e-20,0.018496388961251314,0.13575938971689977,3.695102326621181e-20,0.055155277437520446,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,0.019986475925484568,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,0.0022632501750554732,3.695102326621181e-20,3.695102326621181e-20,0.020434433180540855,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,0.014796815560814918,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,0.00032516900474266393,0.008790168071729328,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20,3.695102326621181e-20
2015-09-30,0.08082227854294415,0.014509616993109006,0.004138122073665825,0.017011744009727617,0.002946345218844378,0.0027612543012503076,0.01925341267000394,0.02983255477629901,0.05400783893312803,0.0030443049017615112,0.0004986122678044331,9.418231725194848e-05,0.05267852999318275,0.0014321971856827047,0.0026473937076283,0.03801461660637871,0.001333374104899243,0.020351690730884282,0.0015301928435109355,0.001860190703003725,0.07179174843464167,0.17962229940839258,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,0.049405784405955284,0.08580534335354524,3.597491109700095e-20,3.597491109700095e-20,0.015940662981636603,0.132173118467181,3.597491109700095e-20,0.038121174293048024,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,0.018460633554159327,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,0.0018886828325925498,3.597491109700095e-20,0.0030334045036991197,0.02283644186544304,3.597491109700095e-20,3.597491109700095e-20,0.002118922263613356,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,0.01326862645990686,3.597491109700095e-20,3.597491109700095e-20,0.005984606335541593,0.0003165792176536084,0.008788526881352945,3.597491109700095e-20,3.597491109700095e-20,0.001674991860676364,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20,3.597491109700095e-20
2015-12-31,0.07984391340727094,0.01207417603288817,0.0037345409782011743,0.020131710846246185,0.0023814078376660996,0.0027101297784482303,0.018395896667093924,0.02630717050828172,0.05529878990067501,0.00248234576496404,0.0004178421113941746,0.00017570796479139648,0.049263682332466745,0.0013284587034985886,0.0025463369694362944,0.029002722889059706,0.0022282964625818004,0.02149851232624489,0.001255831446063564,0.0018840880659228233,0.0773260819058847,0.16439090437915416,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,0.05312536159413486,0.11504566653900894,3.246636452169189e-20,3.246636452169189e-20,0.01531876710409249,0.11842320737292958,3.246636452169189e-20,0.030844344950188157,3.246636452169189e-20,3.246636452169189e-20,0.018589331266914165,0.014859108315194375,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,0.001792143321597392,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,0.002479618590344218,0.0004824177104278197,0.002792756676155936,0.01853933306555076,3.246636452169189e-20,3.246636452169189e-20,0.0018213630496669148,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,0.011896812283506166,3.246636452169189e-20,3.246636452169189e-20,0.006037282814631214,0.0003116770994082421,0.009498099873550006,3.246636452169189e-20,3.246636452169189e-20,0.0034641610944645238,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20,3.246636452169189e-20
2016-03-31,0.058729260567734365,0.01269139857496119,0.003742412286950313,0.02159831791474459,0.0029859158504492284,0.0030303663776727447,0.02229966992906694,0.027365580558833952,0.047888034662134586,0.0028521777424549972,0.0005102147472612274,0.00015306442417836822,0.04651171105508124,0.0014104345551183472,0.0025794190000428714,0.029007641013419187,0.0013496855012462088,0.020377410100338687,0.0011823518136185526,0.0016855124554725695,0.1047928587715594,0.161961132781101,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,0.056706793789591356,0.10043751236682918,3.2210526973562333e-20,3.2210526973562333e-20,0.017155648771389035,0.11561427520307042,3.2210526973562333e-20,0.035309179668419025,3.2210526973562333e-20,3.2210526973562333e-20,0.020414258943196442,0.016412390861474082,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,0.0017470989830460208,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,0.0019406842501571305,0.0005439391690025471,0.0036578274431177385,0.01763429720221617,3.2210526973562333e-20,0.0,0.0017458105619670785,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,0.012142498984804713,3.2210526973562333e-20,3.2210526973562333e-20,0.006652601188484696,0.00033498948052504825,0.00947182756184574,3.2210526973562333e-20,0.001562371610852641,0.005811423276570115,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20,3.2210526973562333e-20
2016-06-30,0.03031452372212418,0.012107736299999802,0.0031139903443781706,0.026173263488949314,0.0026928046663578812,0.004136059315520229,0.021111145324218407,0.030551401880758198,0.04266809203331116,0.003238339557393633,0.00026329645626610394,0.00014042477667525546,0.04183683172862367,0.0013048688686130585,0.002941769048405236,0.026826451465302395,0.0014005834838595132,0.02013275224110792,0.0011847158505234987,0.001751527222873683,0.1790609459488131,0.14974313672426462,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,0.035056903653768755,0.1056116660365479,2.955066849226756e-20,2.955066849226756e-20,0.016587972251449472,0.11373278075159285,2.955066849226756e-20,0.024834972814271498,2.955066849226756e-20,2.955066849226756e-20,0.021821750249451963,0.014575985436484942,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,0.002085095168814399,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,0.0017471832746053196,0.00047943004561854885,0.00300412095892392,0.01802117967332445,2.955066849226756e-20,0.002925516180734488,0.0018232762459729085,2.955066849226756e-20,0.002800575954349181,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,0.011196423234366763,2.955066849226756e-20,2.955066849226756e-20,0.007116835246335258,0.00014184320876288426,0.008667388372793029,2.955066849226756e-20,0.0009468034184922525,0.004127637374999933,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20,2.955066849226756e-20
