,VGS_capital,VCA_capital,VDT_capital,TNB_capital,TLH_capital,TIS_capital,TDS_capital,SHI_capital,SSM_capital,SMC_capital,SHA_capital,HSG_capital,TKU_capital,NKG_capital,POM_capital,KKC_capital,DTL_capital,KMT_capital,ITQ_capital,HPG_capital,HMC_capital,BVG_capital,CBI_capital,BCA_capital,HSV_capital,DPS_capital,TTS_capital,HMG_capital,KTL_capital,KVC_capital,MHL_capital,HLA_capital,NHV_capital,MEL_capital,PAS_capital,TNS_capital,NSH_capital,VGL_capital,TTH_capital,TKG_capital,TNA_capital,TNI_capital,GDA_capital,TVN_capital,TMG_capital,DFC_capital
2014-03-31,0.006077781925365226,0.0010768498025568124,0.00019894539853895996,0.0009685575761718698,0.014872730030833928,0.026071100482954405,0.0006138390872361979,0.011188972595358098,0.0012780506867187433,0.010896655875324616,0.0021151250176643555,0.13647423007913886,0.0049365062001420195,0.02542979073748972,0.07215703338636326,0.0013126926325689864,0.017873856067572955,0.0010853512483664717,0.004919561141487392,0.6455051511387903,0.002257741108593738,0.0012185405660511297,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,0.0008214594304788918,0.005570471159090879,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,0.0050790066251420185,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20,2.891648234577907e-20
2014-06-30,0.004700282484081074,0.001383564992559788,0.00015001611472036596,0.0007121761460390327,0.01184072922566433,0.02013739447420713,0.0006252628952330698,0.008902575531111767,0.0010019047775648073,0.007563801826897311,0.0015334743342447655,0.10476356686215564,0.003179861153412512,0.016024603924090563,0.06415604644221302,0.001512973911450239,0.01552907026685411,0.0007324630227627833,0.006264480759258784,0.718807365481591,0.0020185709272720277,0.0007847818101029821,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,0.0007172745584788174,0.002387445071279276,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,0.004570313006754836,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20,2.669325884704021e-20
2014-09-30,0.004936790320897567,0.0004945621788376811,0.00013686192292396146,0.0007863104817046467,0.011222703502769167,0.017105158065062655,0.0006048780533152592,0.01245861831278119,0.001132467854684968,0.007982407097029241,0.0018543499405980514,0.10118770067863628,0.003633296708566298,0.016997992597112762,0.04566733757414203,0.0016220978396965216,0.014396841371427736,0.0009287501735628676,0.006388714562090523,0.7399691378946106,0.0019527614100816777,0.0006579701502080263,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,0.0006938899492244848,0.0022207783719737145,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,0.004967622988061947,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20,2.5823004325275754e-20
2014-12-31,0.0049823429771171475,0.0004597265761734764,0.00023232572666428598,0.0007529173607219314,0.011872834961103376,0.017729557758343666,0.0007216550970417602,0.012566734092874298,0.001173806998025606,0.008766281336069924,0.002538881235998561,0.1135245745213943,0.004732512524042902,0.023397341926030595,0.04189277161326503,0.001460011951392105,0.015084577538416855,0.0007764175897554848,0.020427533938961184,0.707060303889545,0.002045965270301615,0.0006295277754774201,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,0.0008128456213211637,0.0016573282252364734,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,0.004701223494726019,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20,2.6765636712475345e-20
2015-03-31,0.004734902701717975,0.0006008272480176416,0.00019262109977173766,0.0008506386189431055,0.011802120657919636,0.03982927496257299,0.0008458387772061224,0.01569425899086433,0.0013035491755236557,0.00912032673056019,0.0031748600226546245,0.09585001605123544,0.004413972107147148,0.03006683607075418,0.04263639809084255,0.0015595407348294177,0.01749024683139075,0.0008946528539560938,0.014964212474123596,0.6902759692535313,0.002475118389037588,0.0005226494335825977,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,0.0026864055400087033,3.137151462080419e-20,0.0009161423414713446,0.0011870981132512304,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,0.0059115227290858574,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20,3.137151462080419e-20
2015-06-30,0.003944273593448785,0.001015126989163258,0.00024332849454199382,0.00101890177487811,0.010108585776241564,0.030453809674897744,0.0007049557506551939,0.021624876255990987,0.0011610079386356897,0.00762948073960596,0.0047618631424725215,0.11432199868747797,0.004412317985277233,0.028440861637233167,0.03679472375551921,0.0012003818573229146,0.015836677914463415,0.0009760434386079452,0.00827340110893332,0.6426194620227667,0.0023860420503579063,0.00028456076927345337,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,0.013428277517948308,2.903681319116871e-20,2.903681319116871e-20,0.0030551373367220074,0.03703979445885267,0.0007510081363763875,0.0011986396485314443,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,0.006314461543804313,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20,2.903681319116871e-20
2015-09-30,0.003834391736171387,0.001312117435324286,0.00036680227790608915,0.0014834855993919804,0.007670440186276266,0.031018335260014136,0.0010531468888787033,0.024892882544766085,0.0011621412266083259,0.005519124480747342,0.004387908580897501,0.10992122557767509,0.0050982028810139055,0.027856394989899426,0.036830639976675794,0.0009567086988555336,0.014971462230540931,0.0014726152307757462,0.006885826280406624,0.6767104416023308,0.002078914400119726,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,0.00975336557802444,2.9065156727899305e-20,2.9065156727899305e-20,0.004224446139459796,0.011610512832310295,0.0007640648400630168,0.0007998731131517888,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,0.007364529411715126,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20,2.9065156727899305e-20
2015-12-31,0.004197126240427249,0.0014973304174793623,0.0002991297127345646,0.0018290160146119461,0.007251342719999693,0.030393500932467805,0.0013776785323855365,0.023144831158696363,0.0016114261783908698,0.00660920493004209,0.004614286050656476,0.11395490565520942,0.00442285504774783,0.02664900359772556,0.03855905132873659,0.0008480147157402776,0.014924049884744961,0.001227332815322361,0.004823016121289531,0.670431586511917,0.0019021766551964238,0.0003237568577588962,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,0.009377656428021222,3.0033103688209296e-20,3.0033103688209296e-20,0.005604897942708372,0.014598791371801657,0.0007369823314049678,0.0007231971368120798,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,0.008067852709971039,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20,3.0033103688209296e-20
2016-03-31,0.005548513563536753,0.0015996059535286248,0.00042094893513911185,0.0023339944224744446,0.009884263677916472,0.026404978658726104,0.0015815242833601493,0.016379625334878634,0.001520032254255453,0.007023724323221143,0.0034030851299621237,0.09936523531511869,0.0037690236928955567,0.024749142537782022,0.04542828289404403,0.0007151348386738321,0.014349096826554475,0.000890689678669348,0.005057844961015226,0.5400329732171001,0.0016193140173101379,0.00046878404140492,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,0.0046489743902082305,2.3917553132904082e-20,2.3917553132904082e-20,0.005386615646380126,0.012431148240826896,0.0005450810358988839,0.0010695929761034705,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,2.3917553132904082e-20,0.009319809423979936,2.3917553132904082e-20,2.3917553132904082e-20,0.15405295972903518,2.3917553132904082e-20,2.3917553132904082e-20
2016-06-30,0.0063265983956140035,0.0011150037588506757,0.00029494631214983704,0.0012183683417584838,0.010120754983297047,0.021034930788980624,0.0011227394308618408,0.011937951984264653,0.0013378711369654462,0.007979250412619984,0.0025773506230302614,0.14577207036763573,0.0028416591012048443,0.0382276714209675,0.033005597425568356,0.000978886416861113,0.01639581398780218,0.0006460619865876404,0.003568736056737001,0.5776691574260319,0.0013264010026040635,0.0002053954292619666,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,0.003982003854574853,1.905337933784477e-20,1.905337933784477e-20,0.004291125880952047,0.011223393098957462,0.0006513397726642234,0.00039326174953311597,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,1.905337933784477e-20,0.011595962878529677,1.905337933784477e-20,1.905337933784477e-20,0.08215969597513367,1.905337933784477e-20,1.905337933784477e-20
