,TVD_capital,TNT_capital,THT_capital,SPI_capital,SHN_capital,SQC_capital,HGM_capital,NBC_capital,MIC_capital,MDC_capital,LCM_capital,DHM_capital,KSB_capital,BMC_capital,BKC_capital,AMC_capital,HLC_capital,BMJ_capital,ACM_capital,ATG_capital,GLC_capital,BCB_capital,AAH_capital,CST_capital,KCB_capital,D17_capital,HPM_capital,LMC_capital,VBG_capital,MSR_capital,KSV_capital,KHD_capital,MTA_capital,MIM_capital,KSH_capital,MVB_capital,VIM_capital,VDB_capital,CLM_capital,MGC_capital,TMB_capital,YBM_capital,VPG_capital
2014-03-31,0.01544555887499818,0.009363121736626803,0.0058908643151155855,0.008716563458138508,0.06196614541031827,0.6697753082267041,0.028985926022717514,0.012876886603176778,0.0044341126382746706,0.007550204252549497,0.016887144369998008,0.022031353606474145,0.04985874298055226,0.020320448650780552,0.01204753592249858,0.0022986344130404264,0.00963052546908801,0.00720792747499915,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,0.0012077070066083848,0.03350528856734101,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20,7.982200968991308e-20
2014-06-30,0.015564507212744765,0.007714692682353097,0.005895391724611137,0.008708985526410503,0.043944684344740206,0.7094270944120148,0.030003168989756832,0.01100520712012256,0.0022435325712064523,0.006510663535805633,0.013170555980514245,0.0174516240413891,0.05269310165573555,0.018546535921973344,0.009445782018545347,0.0018212555505123288,0.008375175074149178,0.008209289635550884,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,0.0014158050241022538,0.027852946977761923,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20,8.498229436388078e-20
2014-09-30,0.016398121689349322,0.007914178222105456,0.005982535073953292,0.006874240843783728,0.044425013064840604,0.6627188162964905,0.027072187172052044,0.011540448352749231,7.720396275588194e-20,0.006228661307219043,0.011395304902768175,0.016096717418750357,0.052197908035102804,0.01480988176753532,0.010387793188803913,0.0020262180025281216,0.007941971648697574,0.005593427101663645,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,0.0011680959564964936,0.08922847995511055,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20,7.720396275588194e-20
2014-12-31,0.018978184560373732,0.010376223563673088,0.007071844866520515,0.010378694681454385,0.037790310005844194,0.7070691678222575,0.027462026127128305,0.011611782454322418,8.237059270995545e-20,0.006768885826533297,0.010536846219457502,0.012802861224908374,0.05889497378761814,0.014146325592007748,0.009059117786240899,0.0017557291836127,0.008034098130558213,0.0058812603194908185,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,0.0011230406610075324,0.04025862718699072,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20,8.237059270995545e-20
2015-03-31,0.020068209901001725,0.01264015950863826,0.007581160683625222,0.006026577598545797,0.0325435190321473,0.6998395847661947,0.02970828820737689,0.014720763679564784,0.004259857677543531,0.008671195078816743,0.006819033419133798,0.009804765627114643,0.058106252345979055,0.012424598480898065,0.013354348087686705,0.002094790108455569,0.008469656931852388,0.0066771740438433536,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,0.0011864009363370999,0.04500366388524458,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20,8.152837660370395e-20
2015-06-30,0.01542553503378057,0.025533319832231526,0.006342961964329129,0.005935673714752992,0.11749386474151179,0.645286514278618,0.020402299757837142,0.012377262881637286,0.0036383815576753395,0.006837000055177109,0.004253298110191543,0.006845269104171825,0.060628667229262696,0.010729015897472213,0.012313365684859927,0.0016960571219890705,0.008515917693795312,0.00726172848081483,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,0.001252385056836181,0.027231481803055613,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20,7.517317267924256e-20
2015-09-30,0.007386288726543952,0.016576078224035607,0.0027753872975139673,0.001779063091124565,0.04212273995754931,0.353992011078089,0.00998157032376138,0.005349815407948983,0.002016108585409019,0.003373132945987962,0.0020038897454974494,0.003107739743108666,0.038067714285563006,0.004156523502185075,0.005623110127304427,0.0010878433173270605,0.003827755249631103,0.004148296149977951,0.0068547691903906634,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,0.47232170054971345,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,0.0005677687612242772,0.012880693740113176,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20,4.0729466371899376e-20
2015-12-31,0.007101764450721424,0.05172664767020745,0.0032236046828073286,0.0013631493033089965,0.061990188246050404,0.3526053434479012,0.012590387752687717,0.004758445886461672,0.001026418969455881,0.003359919613138228,0.002095842053837582,0.006904513500939032,0.048778999581480714,0.004769075205433904,0.005838417149976121,0.00143536376044858,0.004080684807262859,0.004515432067211052,0.008193500990960861,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,0.0017818308750396168,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,0.38262043058965467,4.0569919741339184e-20,4.0569919741339184e-20,0.017956327617356202,0.0007862450445871533,0.010497466733071514,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20,4.0569919741339184e-20
2016-03-31,0.004359532788265589,0.030494023617920248,0.002172197760819834,0.0031364416448910774,0.03321963984658379,0.21927087570979584,0.007187325566654113,0.003360473190954726,0.0010268112527917219,0.001749262531291568,0.0025445745198175197,0.006733560770764386,0.035903981794914,0.0037571704916647265,0.0037782617498301778,0.0008457695439456923,0.002371000529173612,0.003496708590588025,0.005223870712605746,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,0.0006700763359741554,2.5228777709870313e-20,0.0016585398466468742,2.5228777709870313e-20,2.5228777709870313e-20,0.6009410081798005,2.5228777709870313e-20,2.5228777709870313e-20,0.018860504411567138,0.0004203114366464394,0.006818077176092452,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20,2.5228777709870313e-20
2016-06-30,0.004638606658097606,0.044877576610863015,0.0024198064733075846,0.0036430032778229982,0.03584172168988589,0.27314039327590595,0.009661878258574038,0.0037325698697984596,0.000864239045377264,0.0028044714156864104,0.0017781325522707489,0.011624549417188613,0.08064110823729806,0.003908623220060403,0.0036401748591290356,0.001435422487185692,0.003081216471453399,0.005510702422069209,0.005769974135682388,3.1426874377355054e-20,3.1426874377355054e-20,3.1426874377355054e-20,3.1426874377355054e-20,3.1426874377355054e-20,0.0013324994735998542,3.1426874377355054e-20,0.002077944933830716,3.1426874377355054e-20,3.1426874377355054e-20,0.46738600686991477,3.1426874377355054e-20,3.1426874377355054e-20,0.018857538835760013,0.00028529316559762914,0.005421135830093747,3.1426874377355054e-20,3.1426874377355054e-20,3.1426874377355054e-20,0.003996241345824469,0.001629169167722086,3.1426874377355054e-20,3.1426874377355054e-20,3.1426874377355054e-20
