,VTB_capital,VBH_capital,TYA_capital,TIE_capital,TSB_capital,TGP_capital,DHP_capital,PAC_capital,NAG_capital,AME_capital,BTH_capital,HLO_capital,EME_capital,HLS_capital,GEX_capital,PHN_capital,EMG_capital,CJC_capital,NEM_capital,GEE_capital,TBD_capital,KIP_capital,VTH_capital
2014-03-31,0.041150465243038135,0.025948325550078397,0.07050488134233371,0.12154553595595345,0.026177983144027375,0.015528730686952092,0.027271839281440162,0.23507840793601203,0.0923134050690203,0.19738026301759637,0.08052928618989849,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19,0.06657087658364942,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19,7.456415387953564e-19
2014-06-30,0.0450066917000658,0.029438137614834114,0.06779498020093798,0.0996729392635835,0.034423743558737806,0.015314777036827943,0.0258006665877138,0.2691372381755478,0.07735124435346068,0.15269008123536884,0.07323916572353617,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19,0.11013033454938545,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19,8.904457838727803e-19
2014-09-30,0.04230409514294103,0.02597087057317361,0.0700481492931796,0.10234469847702451,0.04142723756376881,0.013393493342968901,0.026262896853981407,0.2694117656220432,0.05912480891747026,0.15892148075235313,0.1098018815837325,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19,0.08098862187736297,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19,7.787367488207979e-19
2014-12-31,0.03791278207909573,0.021776008720415446,0.07722598678796988,0.07082459112102016,0.03203075673507546,0.01149435356854343,0.019736072271319058,0.21008216688807693,0.05906554641199583,0.11342046656975927,0.16910822864058261,6.257473770234324e-19,6.257473770234324e-19,6.257473770234324e-19,6.257473770234324e-19,6.257473770234324e-19,6.257473770234324e-19,0.0663792817546457,6.257473770234324e-19,6.257473770234324e-19,0.07663653275881381,6.257473770234324e-19,0.03430722569268671
2015-03-31,0.03282272434601621,0.02299875605956495,0.06776286491183996,0.0672959019843706,0.02504407586539267,0.009862789432440391,0.019915247892427712,0.21584834463860564,0.06012508173237701,0.09256735884769966,0.11729531966718079,5.545877998448264e-19,5.545877998448264e-19,5.545877998448264e-19,5.545877998448264e-19,5.545877998448264e-19,5.545877998448264e-19,0.059496179167352975,5.545877998448264e-19,5.545877998448264e-19,0.1766317775481784,5.545877998448264e-19,0.032333577906553064
2015-06-30,0.036995558433478994,0.020348662143145627,0.07514087429079414,0.05670000281776206,0.02913289726163252,0.013574983134865274,0.02036523721412837,0.26359335383853777,0.06594557741193527,0.10014436886825967,0.12072176699096714,5.525023660913828e-19,5.525023660913828e-19,5.525023660913828e-19,5.525023660913828e-19,5.525023660913828e-19,5.525023660913828e-19,0.048929609541052854,5.525023660913828e-19,5.525023660913828e-19,0.11510392293254995,5.525023660913828e-19,0.033303185120890276
2015-09-30,0.03931290121258027,0.024213162325496744,0.07025901656478237,0.061182234230359615,0.031350969517604854,0.013985488921472106,0.02390982203836264,0.32204827375349665,0.05772595697853852,0.10613426141445474,6.006738359091229e-19,6.006738359091229e-19,6.006738359091229e-19,6.006738359091229e-19,6.006738359091229e-19,6.006738359091229e-19,6.006738359091229e-19,0.10067293489836898,6.006738359091229e-19,6.006738359091229e-19,0.1157979020865607,6.006738359091229e-19,0.03340707605792178
2015-12-31,0.00716945964373696,0.0044402253797158255,0.012655231221497757,0.010319910368905958,0.005480739250949932,0.002492929045476816,0.00458744770662948,0.0675124116451897,0.007616587234421631,0.01989589293606932,1.0707078320993069e-19,1.0707078320993069e-19,1.0707078320993069e-19,1.0707078320993069e-19,0.7931833600010963,1.0707078320993069e-19,1.0707078320993069e-19,0.021448419292613315,1.0707078320993069e-19,1.0707078320993069e-19,0.03628671671297835,1.0707078320993069e-19,0.006910669560718557
2016-03-31,0.0064042870717700776,0.004024758817759366,0.01480814264902113,0.01232641832471622,0.00443470772651788,0.0022596686653940518,0.0060851791143841875,0.06173690810593413,0.007667325684124078,0.018477204792869528,9.705229847502693e-20,9.705229847502693e-20,9.705229847502693e-20,9.705229847502693e-20,0.7973684851582286,9.705229847502693e-20,9.705229847502693e-20,0.014891704678008131,9.705229847502693e-20,9.705229847502693e-20,0.04257645513180041,9.705229847502693e-20,0.006938754079472051
2016-06-30,0.007068727752978849,0.004282585755634818,0.022024505360433648,0.011008925426490119,0.004256970459820995,0.001887783491133279,0.004641746842846423,0.10126565085458461,0.00819926475896827,0.01652286853391538,9.1157636348123e-20,9.1157636348123e-20,9.1157636348123e-20,9.1157636348123e-20,0.749722151524411,9.1157636348123e-20,9.1157636348123e-20,0.018486768651399345,9.1157636348123e-20,9.1157636348123e-20,0.044568426932778904,0.0,0.006063623654604445
