,SRF_capital,SDK_capital,LM7_capital,L10_capital,PMS_capital,L61_capital,L44_capital,PEC_capital,MAC_capital,LO5_capital,L62_capital,L35_capital,CTB_capital,CKD_capital,CMK_capital,NO1_capital,APL_capital,CTT_capital,FBC_capital,CKA_capital,FT1_capital,FSO_capital,DZM_capital,CE1_capital,IME_capital,LMI_capital,LLM_capital,ITS_capital,MIE_capital,SAL_capital,SCO_capital,SCY_capital,L63_capital,UEM_capital,VEA_capital,VES_capital
2014-03-31,0.25730877611131264,0.02065655096181568,0.0378641434532896,0.09895162822459683,0.03606260736477519,0.0825943182527757,0.031991879801937316,0.03237184980290718,0.08104786692015715,0.03685974722694971,0.05855390857602921,0.018983885817686143,0.10429379386760305,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,0.041825928568296956,1.32856643695753e-18,0.02740566846155993,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,0.03322744658830782,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18,1.32856643695753e-18
2014-06-30,0.27357287641064126,0.018855776177083262,0.041381148432075306,0.08729318192976429,0.04181319567672206,0.07377346977422727,0.028503896140331195,0.0341794258540999,0.07349993336933729,0.025682964292978533,0.038537772572013726,0.016710970212586884,0.16162073826774306,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,0.02969342881390407,1.4027507943076376e-18,0.03302636470117902,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,0.02185485737531299,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18,1.4027507943076376e-18
2014-09-30,0.28788956251682396,0.019046394617404778,0.026784410937146362,0.09790773573964483,0.0315306085552087,0.0859029627576158,0.026409429184026313,0.029019570029851227,0.0827089217533611,0.02520279147130787,0.0427947925748256,0.01626349432103527,0.15760349161580975,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,0.026540672797618334,1.3392205468573182e-18,0.026275507129340583,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,0.01811965399897951,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18,1.3392205468573182e-18
2014-12-31,0.2694768773798051,0.018611852811527343,0.02613000100873958,0.0982609572817021,0.034652027384241064,0.07721840670191989,0.022799945066230443,0.026335394970157112,0.12002056370311946,0.02225182271948897,0.034902389254371315,0.01447845125660998,0.17382892019897694,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,0.025726505179209273,1.2153488841274223e-18,0.023845145106580024,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,0.01146073997732159,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18,1.2153488841274223e-18
2015-03-31,0.26239689471130523,0.021630167530761225,0.022897142763685135,0.0870854663112158,0.025984986016387816,0.07524219180173256,0.019451667947816324,0.02538420860387398,0.1300666742990476,0.016737811360253832,0.049412034084032525,0.0158677199352338,0.15893670030365975,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,0.03385506108630588,1.0903401316040542e-18,0.02139247338207154,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,0.012070065256856879,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,1.0903401316040542e-18,0.02158873460576027
2015-06-30,0.2315140982887918,0.018877303398932257,0.02201634493447936,0.0839067368058491,0.029167253769198254,0.06692968860081724,0.019178682698479797,0.020414533527468574,0.1016548463356974,0.016468226010990558,0.043694127409077396,0.012754802498708376,0.14933735694268313,0.11799782380661626,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,0.02509863322530647,9.785042193101937e-19,0.019198252782866,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,0.006820174408592049,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,9.785042193101937e-19,0.014971114555445962
2015-09-30,0.21162274460697825,0.024655846743045794,0.017787011212931872,0.08546303147589507,0.03498044445167219,0.06689542457087566,0.015449289739232253,0.02779042631908476,0.09776452843075874,0.018609279331289693,0.049941861883349745,0.013517112121187483,0.14384203507801893,0.12130741647219538,1.0164006407389642e-18,1.0164006407389642e-18,1.0164006407389642e-18,0.013853540733272081,1.0164006407389642e-18,1.0164006407389642e-18,1.0164006407389642e-18,1.0164006407389642e-18,0.018770887033167188,1.0164006407389642e-18,0.019941780571298477,1.0164006407389642e-18,1.0164006407389642e-18,1.0164006407389642e-18,1.0164006407389642e-18,1.0164006407389642e-18,0.005000691152435703,1.0164006407389642e-18,1.0164006407389642e-18,0.0,1.0164006407389642e-18,0.012806648073310948
2015-12-31,0.17981064448038594,0.02218399627182763,0.014134844705172839,0.07681645604320296,0.029729433372625347,0.05696770744812084,0.012678527371912609,0.022041791167521044,0.08485704103730914,0.02035931631897804,0.04209271087474986,0.011816730173524493,0.12815935195591985,0.10808444584555499,0.0,8.566572548589601e-19,8.566572548589601e-19,0.01437385207927849,8.566572548589601e-19,8.566572548589601e-19,8.566572548589601e-19,8.566572548589601e-19,0.01466425888867568,8.566572548589601e-19,0.014309602785164069,8.566572548589601e-19,8.566572548589601e-19,0.11872841223717756,8.566572548589601e-19,8.566572548589601e-19,0.009131966336796513,8.566572548589601e-19,8.566572548589601e-19,0.009807012253625373,8.566572548589601e-19,0.009251898352476766
2016-03-31,0.18434156868740378,0.019282745576267392,0.011021556030391053,0.06494611881237403,0.03179327827295773,0.04679966010943339,0.01109266284349035,0.017325886079774738,0.07773681235267559,0.012656301663543893,0.02177788364792173,0.009785008550594276,0.09887757895522761,0.09059719056981447,0.0,7.110681309929713e-19,7.110681309929713e-19,0.009925800040530886,7.110681309929713e-19,7.110681309929713e-19,7.110681309929713e-19,7.110681309929713e-19,0.019851600081061772,7.110681309929713e-19,0.08524284754343739,7.110681309929713e-19,7.110681309929713e-19,0.15413823875534635,7.110681309929713e-19,7.110681309929713e-19,0.006705372475263717,7.110681309929713e-19,7.110681309929713e-19,0.011382778640935481,7.110681309929713e-19,0.014719110311554503
2016-06-30,0.2528437642759251,0.024163430790315212,0.012848332571950664,0.0668041914116035,0.03633508451347648,0.04931190041114664,0.00942211055276382,0.01836597761534948,0.08072964253083602,0.013105299223389677,0.02689727044312472,0.010411432160804021,0.08801107811786205,0.09426393330287804,0.0,7.137962539972591e-19,7.137962539972591e-19,0.013788402238465057,7.137962539972591e-19,7.137962539972591e-19,7.137962539972591e-19,7.137962539972591e-19,0.01896413887619918,7.137962539972591e-19,0.07398069894929193,7.137962539972591e-19,7.137962539972591e-19,0.08360695523069896,7.137962539972591e-19,7.137962539972591e-19,0.0061457857469164,7.137962539972591e-19,7.137962539972591e-19,0.010364321608040203,7.137962539972591e-19,0.009636249428962998
