,WCS_capital,WTC_capital,VST_capital,VSG_capital,VTO_capital,VSC_capital,VNT_capital,VNL_capital,VNA_capital,VOS_capital,VIP_capital,VFC_capital,VFR_capital,VNF_capital,TMS_capital,TCO_capital,TCL_capital,SWC_capital,STG_capital,VGP_capital,SGS_capital,SSG_capital,TJC_capital,SFI_capital,MHC_capital,PVT_capital,PTT_capital,PTS_capital,PSP_capital,PSC_capital,PRC_capital,PJT_capital,PDN_capital,PCT_capital,NOS_capital,DXP_capital,GSP_capital,GMD_capital,HTV_capital,DL1_capital,HCT_capital,HMH_capital,DNL_capital,DVP_capital,CLL_capital,HNB_capital,CAG_capital,CIA_capital,ACV_capital,CCP_capital,DOP_capital,HAH_capital,CCT_capital,EMS_capital,DDH_capital,ASG_capital,CMP_capital,CDN_capital,TAB_capital,CCR_capital,TUG_capital,CPI_capital,IST_capital,SGP_capital,ISG_capital,VSM_capital,GIC_capital,ILB_capital,HHN_capital,DDM_capital,NAP_capital,NAS_capital,NCT_capital,PAP_capital,PHP_capital,PLO_capital,PNP_capital,PSN_capital,PVP_capital,QSP_capital,QNP_capital,CQN_capital,PQN_capital,RAT_capital,DS3_capital,SAC_capital,SGN_capital,TNP_capital,PDV_capital,TSG_capital,VIN_capital,STS_capital,VMT_capital,SHC_capital,TBH_capital,TCW_capital,TOT_capital,TR1_capital,TRS_capital,VPA_capital,VGR_capital,VMS_capital,VLG_capital,MVN_capital,VSA_capital,VSE_capital,VTP_capital,VTX_capital
2014-03-31,0.005401063519000197,0.0006558240700441784,0.013837345874568493,0.001550129620104422,0.015373654408899255,0.12016019451416714,0.013630842593009129,0.003721774497332529,0.004017328931543348,0.034905016620533136,0.019603177657320534,0.018447951687988167,0.007178834551847225,0.015085362819761652,0.07542768130419016,0.005807620242091221,0.011654373127039623,0.019893528859240093,0.02690585997776701,0.006108919911956971,0.001990236351406796,0.0005555534477646966,0.0016267688957277663,0.012146945783945531,0.012142230354681576,0.14471489810065755,0.0034073041457295273,0.000895389556787589,0.015718097546513366,0.0012760927194314163,0.0002504055540168681,0.0037653515677718284,0.010448198841522007,0.011490471309864945,0.002430885086072843,0.031134895423160985,0.014443088833809297,0.23628203036628037,0.005268381095573077,0.019225292912167805,0.0008444412406023389,0.00577905666482566,0.0007434660139500822,0.04171257886826443,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,0.002341454531066819,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20,5.420033636728748e-20
2014-06-30,0.005723743775628546,0.0009362689843801839,0.010432711540236334,0.0010234990139808221,0.013614107026477746,0.11191194093619804,0.016497757345015646,0.004198206864619517,0.003479896647534795,0.03175173077463232,0.014619462194301634,0.02170004000369157,0.009106815090306633,0.014802994176581376,0.08250413921028794,0.0059484483318797896,0.010695448389393455,0.024700229641775925,0.024295017077604425,0.006323130385691065,0.004069804261047378,0.0005146571746437656,0.0015003565091309776,0.011373400179449615,0.012395387206250694,0.13001228838503662,0.005728396043873913,0.0008597391717438905,0.015073349114990291,0.001344040296086634,0.0002344743195665156,0.003779328262477252,0.012910044380894459,0.010729293640878504,0.0018143846156932757,0.027762585214288996,0.013746871131529914,0.2518296062558586,0.00559167751081318,0.022603743110354187,0.0010130314104287456,0.0052849767267373355,0.0007976895440213031,0.038823178507590726,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,0.00135032085821788,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,5.815335306709216e-20,0.0045917887581775965
2014-09-30,0.00826963305006148,0.0005795688381450559,0.008923444177390407,0.0008430092191200814,0.013165121700594834,0.10934825855610052,0.01521842392816527,0.004268308950808448,0.0032570810738730416,0.03889337988213103,0.019456509082538216,0.012692653351878896,0.007400279792843896,0.016064402838852705,0.07882117039472328,0.005069646691483389,0.010718766424609663,0.026354575712741538,0.0184098364997989,0.004472068110929859,0.0018346946096122498,0.0003376826701588962,0.0026939892341016963,0.010178953134866291,0.015564297199259933,0.15124926542044675,0.004172895634644403,0.0006115648698707499,0.014331156725041386,0.001065640290169521,0.00017300848292396213,0.003148639433413504,0.014106992909957178,0.009651497593903205,0.0013076222546578532,0.026567914523080226,0.013351924879831669,0.21793033668782347,0.004655805802097167,0.01760030815818819,0.0008640844495980834,0.005683414880904112,0.0008156114194986787,0.03605780341781802,0.030942270201793895,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,0.005325327555782423,0.001526038279611693,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,4.789825108636826e-20,0.006025121004154263
2014-12-31,0.009152680453089467,0.0005938996298827324,0.00846675092188193,0.000701881380770502,0.014510293188614234,0.09445595677156753,0.01959525200314738,0.005245851623355924,0.0035378748199956494,0.042603708986629074,0.018895333926938474,0.01975859894267215,0.013178681869711873,0.019137802040295557,0.10885689389610087,0.005534604641752628,0.012584684074601062,0.012910298136141725,0.031457832659993495,0.004559676679078188,0.002480831644032465,0.0003116745991533348,0.0025326628844585942,0.009770188820325387,0.014411882547464241,0.12685696094295165,0.002380997607075318,0.0007366318715107478,0.01574570258399839,0.0014701224557229424,0.00020909193580995373,0.003422039850861496,0.014292366382277096,0.012246112202953864,0.001052822071155753,0.027107247916725266,0.012838244858731158,0.18796187046577884,0.004340130146477737,0.02006840840249197,0.0009001751414916787,0.006508747282602429,0.0010299495730131617,0.039089393821372574,0.029604669484303216,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,0.0013173773608307884,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,0.006195452957185777,0.0013914921080310303,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,4.908261403989525e-20,0.007988195434992951
2015-03-31,0.007725062193594763,0.0005662471757837143,0.007103828205286598,0.0006692012077443896,0.012525995893070074,0.09086329763636264,0.02005787888487681,0.004816844777141959,0.004120969115662305,0.0347235871431005,0.016765362145487156,0.013476495594503379,0.010178409977930401,0.018543425074735272,0.10584835058281344,0.005276908908144414,0.01243684706084958,0.015449282036018938,0.022264838951815646,0.005245320739247388,0.002823561123808776,0.00026440467298991617,0.002551575290283573,0.009977556021032574,0.013700139830294321,0.10978830779137397,0.0022701364047328907,0.0007023336871208252,0.015611575028218768,0.0013915641338102917,0.00018587882497627382,0.003379232112672893,0.014596541867661017,0.01439016583086712,0.0010859310507488505,0.025060228108697,0.01166581495603863,0.16855446923452744,0.004162571904031868,0.020426173535572495,0.0008386073876069554,0.0057684208161821295,0.0012838367785496213,0.04026438595407503,0.02498039193664022,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,0.03303729369415914,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,0.0011989464994693192,4.679728725485243e-20,4.679728725485243e-20,0.045046507144073884,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,0.006742319161242864,0.0031461816221437285,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,4.679728725485243e-20,0.006446794292228469
2015-06-30,0.008365791599840827,0.0005286647257243713,0.005426459416112968,0.0006247855849469843,0.01106626344840049,0.09849102484584402,0.022207938079991087,0.005107032324396366,0.002792747873413373,0.022632093216960688,0.014485413484847772,0.01371915547164496,0.010551448864664106,0.0227834835702363,0.11620588074407336,0.004877653001251495,0.010503038904655624,0.013133954204177834,0.024137083724588927,0.0046211413810260575,0.0017805078431999653,0.00023156388812720397,0.0020252665038204545,0.00859565152728181,0.013722126480020932,0.09690205966029493,0.0027466535522861655,0.0006336986100748992,0.013736544608904326,0.001711300824559684,0.0001635802258770286,0.0033398940188882737,0.01435521341190078,0.01398121588692552,0.0009371783774204765,0.028866710602637596,0.012876699831858403,0.17997757063441341,0.0041781989852083985,0.02296807931124337,0.0007628500918303737,0.004714465997071286,0.0010896610131872577,0.04033580783378012,0.020529667877964262,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,0.034130419927566824,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,0.0006396406268268425,4.3691299646642255e-20,4.3691299646642255e-20,0.044231673640671924,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,0.007364387011939785,0.004246794325653627,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,4.3691299646642255e-20,0.005963862401766668
2015-09-30,0.006396126948463703,0.0004041944696509246,0.004379330162912084,0.0004041944696509247,0.00787360805529514,0.09589991476841411,0.014860994682504411,0.00417780080461423,0.001669556991169687,0.013562227659361603,0.00910706927776294,0.006672816435415653,0.006313450806944195,0.02038426200353186,0.09184340570919677,0.0036855186641807035,0.007495502501412593,0.006545010812202063,0.02728723545513717,0.003595660554812027,0.002583103301584025,0.00014196913190218428,0.0015283227583032318,0.006998109472230587,0.012017102436741478,0.06421681392206095,0.002573983872640661,0.0004433445455543035,0.009366622255381757,0.001320413140195186,0.0001463117171133099,0.002703259293925709,0.010691110744775077,0.013345098398805322,0.0007165265598357302,0.021550012301207722,0.0103167130905728,0.15129433257555222,0.0035926875541674873,0.014580463677865694,0.0005050760645555355,0.0033222781135208565,0.0009020551618556669,0.030237754870084045,0.014026550231935806,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.027229211835816208,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.008380521367439997,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.0,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.0005705488877386605,3.3404501624043364e-20,3.3404501624043364e-20,0.04590413208674415,3.3404501624043364e-20,0.1885356752561332,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.004932007642281882,0.0029943795255792474,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.0030007263808878148,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.002215186120696811,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,3.3404501624043364e-20,0.004559714471681919
2015-12-31,0.0055807871212228445,0.0003364600107961954,0.0032617156418507207,0.0005811582004661556,0.006754114940690305,0.10160069042706482,0.01437390534056302,0.0036109945009921273,0.001276323512028543,0.010510899510823294,0.008209485230364855,0.011005801599430789,0.00696555642185512,0.01822879163946369,0.1238585211792818,0.0035098896580784927,0.00720513819483198,0.010989701570815002,0.02156644713994949,0.0029605700288818947,0.002174254641667447,9.871347424185897e-05,0.0017241768123494952,0.006683374918585715,0.00921705783294338,0.05236652485387,0.001426896318512956,0.00044846504579512724,0.008230757288898664,0.0017037667588020236,0.0001227940006343801,0.0027003001362329365,0.009136140590677518,0.01195684335887306,0.0003253373658111972,0.020620327150913078,0.00980005126983206,0.16439046834927634,0.002870420991278484,0.017511659104055933,0.00038984870672418675,0.002576894390124382,0.0007508897629372282,0.03179964201210984,0.012366156694320994,0.003703562713879774,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.0,0.025668089317842348,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.005020900979290498,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.0003425774655379444,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.0004749369408594229,2.780661246249549e-20,2.780661246249549e-20,0.04328944550806283,2.780661246249549e-20,0.1391192628111112,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.023651331329162476,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.003906968084042928,0.002492584741138096,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,2.780661246249549e-20,0.003622089339364662,2.780661246249549e-20,2.780661246249549e-20,0.002202283707029643,0.0018439676988379256,2.780661246249549e-20,0.0044774763519359485,2.780661246249549e-20,2.780661246249549e-20,0.006405809312985086
2016-03-31,0.006148315431693927,0.0004712212557137681,0.0030965968232619045,0.0004319528177376207,0.006297507447119019,0.07988109068198673,0.012808971783439501,0.003333974530827715,0.0014591029596565605,0.010995162633321256,0.00758932686099719,0.009357276085336147,0.006226852307646221,0.014101913152688418,0.10361611264790949,0.00312085910815431,0.007479683772390933,0.0143602714256872,0.021009904565915186,0.0031723288107873312,0.0014863664751657143,0.00013884197712994952,0.001522100753724008,0.006234032822019002,0.008272457437360811,0.0533220509501251,0.0014023039690124902,0.0004445187178899879,0.011331749244545376,0.0010784235023620808,0.0001312687783774068,0.0029682731777327083,0.010222415871719213,0.009508571767081392,0.000546953243239195,0.02568915968403717,0.009179333963535664,0.15246868608535805,0.003134266474834737,0.013821592603307266,0.0004740261441406357,0.0026316585176243204,0.0006175242360591856,0.036441110441864724,0.01267416884564424,0.005212043674805499,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.0,0.026027821912697174,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.0,0.03640436640347276,2.8048884268676675e-20,0.005318909923869157,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.0004936603631287094,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.000444855304501212,2.8048884268676675e-20,2.8048884268676675e-20,0.039213237771906585,2.8048884268676675e-20,0.15032883670450067,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.021715025467545446,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.005915088958999879,0.003180743476067935,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,2.8048884268676675e-20,0.0033418843161914817,0.0050824578294842125,2.8048884268676675e-20,0.002188654439484841,0.0018600337113930247,2.8048884268676675e-20,0.004196141135478298,2.8048884268676675e-20,2.8048884268676675e-20,0.008375957820312228
2016-06-30,0.005843661909036034,0.0006106071597524698,0.0015668886206871232,0.00030530357987623496,0.009213178931136204,0.08770579574438601,0.010990525168331398,0.002952865946521965,0.0012096077371294795,0.0077713638513950715,0.007639402056126252,0.008750051062654524,0.00563928513242467,0.012701537264080758,0.0837258481844391,0.003255646356316578,0.006591277204220567,0.013527446526898013,0.027977515425841842,0.0029501409228338132,0.001540546725034992,0.00010723472846892549,0.0013692234764928729,0.005297647903373082,0.006234248637671085,0.06431459611250644,0.0016569657926010207,0.00037302546486696336,0.00979999259701898,0.001182660280657759,0.00010748704547708767,0.0026952755128891977,0.010736088697300658,0.011038869107095272,0.0002460090829581232,0.022821821071260805,0.009031990087574942,0.1488544189652767,0.0030343138767567157,0.012326190482738702,0.0004264157437940802,0.0024125543052434775,0.000852781024186528,0.03735300988832877,0.011761505018471749,0.0078765800437987,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,0.0008052192681479575,0.02191393401249166,2.5231700816217767e-20,2.5231700816217767e-20,0.0,2.5231700816217767e-20,0.0,0.02982538426681837,2.5231700816217767e-20,0.005050503393878228,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,0.05070126087603001,0.00044407793436543265,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,0.00024626139996628536,2.5231700816217767e-20,2.5231700816217767e-20,0.031883433175593986,2.5231700816217767e-20,0.12252387757851264,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,0.03474871988858286,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,0.004362308754115889,0.0030656516491704587,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,2.5231700816217767e-20,0.002989830388217724,0.002666990776274218,2.5231700816217767e-20,0.0017644528380781081,0.0014654067200042952,2.5231700816217767e-20,0.0038458410701087274,2.5231700816217767e-20,2.5231700816217767e-20,0.0073174455537113135
