,VQC_capital,VCM_capital,VCT_capital,TV4_capital,TV2_capital,TV1_capital,VNC_capital,SDA_capital,SFN_capital,MTH_capital,SDV_capital,SDC_capital,ILC_capital,PPS_capital,PPE_capital,ARM_capital,BMD_capital,MTV_capital,LPT_capital,ABR_capital,DTB_capital,DUS_capital,UDL_capital,MBN_capital,BRS_capital,HEC_capital,BTU_capital,DNE_capital,HEP_capital,CAR_capital,CDH_capital,CFM_capital,HSA_capital,IPA_capital,MDA_capital,AMS_capital,MLC_capital,MPY_capital,MQB_capital,MTL_capital,NAU_capital,MND_capital,NUE_capital,PVM_capital,MQN_capital,MTX_capital,THU_capital,QNU_capital,UCT_capital,SZE_capital,MTB_capital,USD_capital,TVM_capital,VLP_capital,VTK_capital,MTS_capital
2014-03-31,0.01928324063385455,0.016856438241158567,0.007214817924231295,0.07056091929898206,0.07969094343582749,0.29537464581802914,0.11018994647916885,0.16010118235561618,0.02564649141218036,0.03216497009130024,0.028312694581453107,0.017735334242837655,0.030007083639416517,0.06722898520306432,0.00896386469374191,0.030668441949137724,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,0.0,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18,1.0931542309441355e-18
2014-06-30,0.019341806711062746,0.021098895017432534,0.0027901271006659425,0.07944252799350664,0.08794088619970855,0.3158400819052188,0.1071374218303234,0.10874578022099654,0.028252919256949956,0.04189341253297424,0.03332011289638253,0.02212271025106533,0.0274285635226623,0.06675552030105704,0.006687081480934902,0.031202152779058842,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,0.0,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18,1.1529450829198108e-18
2014-09-30,0.013870217978516236,0.01771468057038758,0.003800489980526414,0.09307745461398327,0.09116464602047866,0.28233557384257796,0.13488598530058418,0.12700337123353642,0.024836149674393276,0.054425529241786536,0.03271771677450425,0.021123604916556727,1.0469669367841362e-18,0.06485960173377722,0.008585128881629916,0.029599849236761094,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,0.0,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18,1.0469669367841362e-18
2014-12-31,0.012916878713877224,0.018342846472937897,0.004027371481084169,0.0962340415405062,0.10503201760327463,0.2588071291797709,0.1209996302140731,0.13861114263851415,0.022429713214538075,0.054830832091560464,0.042973884326568575,0.015516363942577004,9.15311700246402e-19,0.05931219817596686,0.015377236564139554,0.03458871384061129,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,0.0,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19,9.15311700246402e-19
2015-03-31,0.007849194828588178,0.01841541863630303,0.0040587716848682455,0.09414505412673933,0.13754959206828798,0.24629364542268667,0.11772534359095631,0.1548958094859532,0.022786984089447276,0.04963106268538062,0.028134667361018512,0.0177479016401966,8.385891910884804e-19,0.05673055877713569,0.01408829841028647,0.029947697192151807,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,0.0,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19,8.385891910884804e-19
2015-06-30,0.015256332938264474,0.01504211092508982,0.0052080786536301705,0.08390983116045461,0.1267868327973902,0.24163777386072308,0.1416426637110238,0.15861742975497192,0.020438021923605016,0.04776219493737499,0.025303034889469975,0.016426792343581062,7.761667144009197e-19,0.0546033283581047,0.014281467544976919,0.0330841062013392,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,0.0,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19,7.761667144009197e-19
2015-09-30,0.007653941371232801,0.012211804441646639,0.003745256009055196,0.08179639123776548,0.114400547185686,0.25151096489900665,0.15547352141832466,0.17048102706269025,0.028721952193887734,0.03860564497091562,0.026595100751169724,0.01497043139296285,7.566173755667063e-19,0.04267321998196223,0.01815881701360095,0.03300138007009303,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,0.0,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19,7.566173755667063e-19
2015-12-31,0.005332264556995112,0.013199968633737898,0.0043128610387460475,0.0773439746281791,0.1421283751404947,0.23069450131999686,0.17427879379296524,0.16169598540887953,0.02078232685387678,0.020248664755648103,0.027953728954835486,0.01338439063775162,7.260708819437789e-19,0.050970175912453265,0.022943839869423412,0.03473014849601677,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,0.0,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19,0.0,7.260708819437789e-19,7.260708819437789e-19,7.260708819437789e-19
2016-03-31,0.010112604545695627,0.02314034218109838,0.002376894230825895,0.07402945122554107,0.2002189623776276,0.2160891512130345,0.16823893090833372,0.09950216179512479,0.020337178489041728,0.03705597749611544,0.024358254927471984,0.009976407851477504,6.54791799125591e-19,0.04508241536979693,0.021084295931844032,0.037349324222123705,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,0.0,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,0.0,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19,0.01104764723484697,6.54791799125591e-19,6.54791799125591e-19,6.54791799125591e-19
2016-06-30,0.009555959084982905,0.013487178384548775,0.0014190857256786101,0.04690723362334025,0.1754799187641835,0.13089130702486526,0.09851504211322583,0.08091525165315668,0.018751478214297578,0.024412965674153676,0.020778073366341087,0.009290124844359917,3.9093270679851523e-19,0.027678035641334878,0.010555183083559912,0.023389503847755167,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,0.0,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,0.0,3.9093270679851523e-19,3.9093270679851523e-19,0.2674605206832722,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,0.034808648213339795,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,0.0,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19,0.005704490057603933,3.9093270679851523e-19,3.9093270679851523e-19,3.9093270679851523e-19
