,WSB_capital,VTL_capital,VDL_capital,VCF_capital,THB_capital,SMB_capital,SCD_capital,HAD_capital,BHP_capital,HAT_capital,CTP_capital,EPC_capital,CPA_capital,CFV_capital,BBM_capital,BSP_capital,FGL_capital,HLB_capital,BHK_capital,BHN_capital,BHG_capital,HKT_capital,BSD_capital,HAV_capital,HBH_capital,IFS_capital,PCF_capital,HNR_capital,BQB_capital,NAF_capital,BSH_capital,BSQ_capital,SKV_capital,SKH_capital,BSL_capital,SAB_capital,SBL_capital,SBB_capital,FCC_capital,QHW_capital,SKN_capital,BTB_capital,TAN_capital,SB1_capital
2014-03-31,0.05922127005617815,0.03224228151960139,0.0581987699198234,0.6337498836974272,0.03105230567845306,0.05688719773362379,0.06520483690368864,0.01682457080340213,0.018979296537872926,0.027639587149929253,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19,3.2083468351262646e-19
2014-06-30,0.05142708755198612,0.035087799555183,0.07242928472727711,0.6667653354896956,0.02426553394857829,0.044826681484929895,0.05672560334864045,0.01258296590409121,0.01435900471861221,0.02153070327100603,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19,2.690967900789395e-19
2014-09-30,0.05475209252621729,0.03398047827709802,0.05757425464139443,0.6862274193795793,0.028590785215030393,0.05020580129565337,0.04602535062916396,0.011248766470494996,0.0091963778971965,0.022198673668171614,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19,2.5565378342034085e-19
2014-12-31,0.07208892979193081,0.03220283260716132,0.06772224403241066,0.638617870481805,0.03695915201987373,0.050743548653524775,0.04982644810712593,0.014652156098021424,0.009646181536567105,0.027540636671579327,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19,2.681580545025883e-19
2015-03-31,0.05251219624469335,0.025642175849509657,0.06897959260362228,0.6788895287500692,0.0369212948827911,0.04612214375833163,0.044876919622684405,0.013527897060218869,0.010868350075671673,0.02165990115240773,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19,2.3485932396213314e-19
2015-06-30,0.06771776375990497,0.047537624359947815,0.08314058758250101,0.5862430154001907,0.02829858069038023,0.054754881918891024,0.07262888655257674,0.013988668886163187,0.017217646944298424,0.028472343905145726,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19,2.433658470104939e-19
2015-09-30,0.06341844981601863,0.04216296631605942,0.09595784941891414,0.6017254811297662,0.028349063385179687,0.047256695795432915,0.07119443160050203,0.013929741260398736,0.010612442347967656,0.025392878929760686,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19,2.428476509832416e-19
2015-12-31,0.050627149057287574,0.036539814147189674,0.08291272949059056,0.3940034119737296,0.0294866760026619,0.048605683002974645,0.07243288543285893,0.01053982509109751,0.01690328658180087,0.021928013499731246,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,0.23602052572007765,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19,2.1045976619603657e-19
2016-03-31,0.05744512875727725,0.03313256863234908,0.07927702570794509,0.4334574841735827,0.02136358804770339,0.04526757060081131,0.07374052289914126,0.010679122334918726,0.015098859169742128,0.02225555048146697,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,0.20828257919506207,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19,1.9083492378339397e-19
2016-06-30,0.059993677822516134,0.033323533816416895,0.0878701834877998,0.41578485196064086,0.020491768405790194,0.05876434189791257,0.06597975031227983,0.012652863954909173,0.0074368548060461444,0.019011842808374202,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,0.21869033072731414,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,0.0,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19,2.1272467980681197e-19
