,VLF_capital,VNH_capital,VNM_capital,VHC_capital,SSC_capital,VHF_capital,SLS_capital,SJ1_capital,SSN_capital,MPC_capital,PAN_capital,SGC_capital,SBT_capital,SAF_capital,HAG_capital,MCF_capital,PSL_capital,OCH_capital,NSC_capital,HNM_capital,MSN_capital,AGF_capital,LAF_capital,KTS_capital,HHC_capital,KDC_capital,BLF_capital,IDI_capital,ICF_capital,BBC_capital,DBC_capital,CMX_capital,ABT_capital,ATA_capital,ASM_capital,CAN_capital,LSS_capital,AAM_capital,AGM_capital,ANV_capital,FMC_capital,ACL_capital,CAD_capital,AIG_capital,GCF_capital,FCS_capital,ANT_capital,HVA_capital,APF_capital,BAF_capital,C22_capital,CMM_capital,CNA_capital,LTG_capital,TT6_capital,HFX_capital,CMF_capital,CCA_capital,CBS_capital,BLT_capital,HSL_capital,AVF_capital,CMN_capital,HAF_capital,BNA_capital,NCG_capital,CLX_capital,DMN_capital,IDP_capital,ILA_capital,NSS_capital,CAT_capital,MCM_capital,MML_capital,HNG_capital,NGC_capital,NDF_capital,HDS_capital,MCH_capital,MLS_capital,HKB_capital,PRO_capital,HNF_capital,DAT_capital,KHS_capital,HVG_capital,QNS_capital,KTC_capital,APT_capital,SEA_capital,SNC_capital,THP_capital,TAR_capital,NCS_capital,JOS_capital,SPV_capital,SPH_capital,SPD_capital,VLC_capital,VSN_capital,TFC_capital,TCJ_capital,BCF_capital,TS4_capital,VSF_capital,BMV_capital,VOC_capital
2014-03-31,0.000405322380121508,0.00024019104007200475,0.35581159461729056,0.0059504750000650905,0.0016796296723285216,0.0009743218186045833,0.00034158731233990147,0.000981569770888006,0.001727686645267928,0.008726515784316043,0.01275957667361258,0.0006045355152124783,0.02407382721974813,0.000522978459906779,0.12674097748980706,0.00025180652865048687,6.808853038291166e-05,0.029085633758719323,0.0035998632130791715,0.0022557879297012426,0.3369210009089026,0.002218591157108842,0.0006988058072094889,0.0002753799656888037,0.0014010080658449957,0.02903932192380544,0.0003824995400834161,0.00566486815024822,0.0003903104401170077,0.0029025023050951154,0.006531845215358124,0.0015679596036200446,0.001248289723686714,0.00032650969509788144,0.006807839732340862,0.0003893721938667264,0.00262661568643116,0.0003906153701483491,0.0007803769362089423,0.0021487527974691557,0.0012394983563215783,0.0008218943327838884,0.000302490591090681,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,1.341692137902214e-05,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,0.001625042505487157,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,6.549427950088395e-05,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,0.015430538569063285,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,0.000176765593552991,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21,0.0008104242723741999,4.691231251406343e-21,4.691231251406343e-21,4.691231251406343e-21
2014-06-30,0.00037088382315616445,0.0001648372547360731,0.34354092841039724,0.009841273468343561,0.0023937563109488326,0.0012160353351732744,0.0004184908827896266,0.001012821907068959,0.0016318888218871236,0.012184100218743157,0.0144947734021408,0.0007976629291604891,0.02567116166871182,0.0005180010730081097,0.11983050279607255,0.0002859514276534028,7.476399735123016e-05,0.026167914189351604,0.004183075013437327,0.0016673082269985373,0.3451314636860025,0.0022102975975917937,0.0007023303331167234,0.0003120987371859124,0.0016296017049776603,0.029886003911835313,0.00027486612227240186,0.00553068138487525,0.0003164875290932603,0.004873083761762529,0.006620523499219638,0.0015957070444725557,0.0014053200152523914,0.0003523396319983563,0.006636224247733251,0.0005952170245235389,0.0026613232335349524,0.00039105063104028095,0.0007153215692556101,0.00204391499359257,0.0012869050523813647,0.0007990382900046933,0.00023571727427258455,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,1.4732329642036534e-05,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,0.0010929225105422696,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,8.25783134585621e-05,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,0.015189392442434401,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,0.00017462446673602742,0.00011311956606263016,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21,0.0006609819379990216,5.1511642105022844e-21,5.1511642105022844e-21,5.1511642105022844e-21
2014-09-30,0.0003077323963618318,0.00017753792097797988,0.3447712451258629,0.012344680148445968,0.0022923844304944246,0.0011451195903079705,0.0003702060181104166,0.0010812059387558975,0.0015623337046062231,0.0235470467920572,0.020717585492559806,0.0008427971689270508,0.02355447379508478,0.0006456462392899203,0.1272382717352119,0.00029453541090246864,0.00011289439130633099,0.025052573293559383,0.0040047820628072855,0.002069204468998355,0.2994219646394666,0.0023100987697208942,0.000952747389710497,0.0003176597251098505,0.0014202244620811822,0.03462903779363644,0.00038168187205807656,0.006547953601509854,0.00040399740240322545,0.004367768205464597,0.008253047521018037,0.002331743601253459,0.0015037067378121615,0.00028997860426403386,0.009548314876384219,0.0003799804669820375,0.0026110945883033947,0.00039768494299067495,0.0007090667299503874,0.0021406585505830767,0.0024512068956359756,0.0010274020854817378,0.00020515493090788787,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,1.4104401499917293e-05,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,0.0009395701306867981,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,8.66582318729184e-05,0.001289566415459221,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,0.021762598353480777,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,0.00024608728491114435,0.0001266437169642923,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21,0.0008003409477687334,4.931608916054997e-21,4.931608916054997e-21,4.931608916054997e-21
2014-12-31,0.0003686546282156476,0.00014336568875052963,0.3255312530801222,0.013494961080055656,0.002182563404115875,0.0011316673045586448,0.0004626410775979591,0.0012962818364632709,0.0020276004551860616,0.03719473284699937,0.02053652048913301,0.0008822980495866075,0.026957639279126595,0.0007151899787383564,0.11965167257836794,0.00034174284035590533,0.00021508949475115174,0.025703419911702097,0.004321041858940963,0.00288718016330888,0.3146285382203966,0.0023768597537950306,0.0007759360691432237,0.0002666140992474581,0.0018230176173390559,0.030151524732501385,0.00046575928132828315,0.006322754566901213,0.0003670161632013558,0.004494370976640353,0.008877131764588419,0.002452218904046113,0.0015624197568159506,0.0002457697521437651,0.0072218520030874825,0.0004213927208631639,0.002526390167161833,0.000386012116960801,0.0007110221333582516,0.0020725353582030136,0.002166552528804343,0.0009715892726623392,0.00021300045185792974,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,1.464378106523267e-05,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.0005986029525651578,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.0001254193766408651,0.0005582045495565264,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.00011059638846469429,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.01972399544813938,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.0002636904632375813,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.0002037840861525385,0.0001314868173969143,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21,0.0007237816796570488,5.120203169661773e-21,5.120203169661773e-21,5.120203169661773e-21
2015-03-31,0.00030709307461355983,8.598606089179676e-05,0.36124023735121374,0.0134207862754782,0.0023226268147889164,0.0012566760434977891,0.0004444046247091029,0.0011221180946379477,0.002026814292449495,0.04319235944241213,0.01881784469745331,0.000912117613781375,0.022778142578759326,0.0007149126777003673,0.11094607417459587,0.0003128664244162948,0.0001044833004193535,0.025181632118311904,0.004130197124835971,0.0031996641630136022,0.29175782916519744,0.0023860057071712452,0.0008977763671969216,0.0002746026273194452,0.0017123509840452093,0.02718814755852944,0.0004443892700553722,0.005411409904995382,0.0003406685841046424,0.004492628371494893,0.009319087387966368,0.0024199753194414147,0.001651802466167236,0.00016583026029132233,0.007143261299278554,0.0005125895237091336,0.0022056345897969705,0.000369740061834726,0.0006362251955485527,0.0023170684301384113,0.002620947263904349,0.0008761467783083068,0.0002129178650654015,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,1.4638103223246353e-05,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.0002659426026153428,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.0001427931614773951,0.0003598619012679899,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.00010594711074167815,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.019948714944717748,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.0002804783414803847,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.00020370507282699467,0.0001314358359346036,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21,0.0006724109961738506,5.1182179102259974e-21,5.1182179102259974e-21,5.1182179102259974e-21
2015-06-30,0.0003057523752695664,7.903802898124846e-05,0.3985196218770774,0.013950082118432159,0.0021010284053940374,0.0012767241615635483,0.00043111084913008874,0.0012712122990161717,0.0025533443257205425,5.199870327713715e-21,0.017282283821318974,0.0010326266487696834,0.02907130503142364,0.0008829379816457888,0.10446851480596517,0.0003397595272128141,0.00016198636044893766,0.011439714720970173,0.005320840111017647,0.0029321028803912094,0.31182008315549425,0.0022428860678043953,0.0008536107129974833,0.00030895029552111035,0.0017021463525551182,0.02688349599013039,0.00043473515874850507,0.004531728589565124,0.0003261358669542042,0.005146935647777589,0.007901400558033442,0.0020505844633448866,0.0017100605551938987,0.00018719533179769373,0.007083970542776191,0.0007368216254370332,0.002807274793304114,0.0003756386324740387,0.0006624634797507272,0.002270949767963066,0.002373699205638689,0.0007543867874040503,0.0003461033690126248,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,1.4871629137261224e-05,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.000292700700747005,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.00014399480911504817,0.00024236595597473628,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.0015320689938762581,8.267793821064806e-05,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.019181021671353965,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.0003179720705396937,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.00019239520212540744,0.0003637829281268515,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21,0.0007049048213655266,5.199870327713715e-21,5.199870327713715e-21,5.199870327713715e-21
2015-09-30,6.533940702446267e-05,4.355960468297511e-05,0.38246104279651744,0.011826636857074694,0.0018225157101003943,0.0011140822643553,0.000579406266707065,0.0011980933144287672,0.0019405803886265417,4.5374588211432415e-21,0.01516600236378917,0.0012058432940952797,0.025367911340777104,0.0008907939157668411,0.0710090525706576,0.0002425725485783177,0.0002714580114337156,0.004809706350411835,0.004955268029394111,0.001934046447924095,0.24860127046578262,0.0019252891523992887,0.0007621115835992189,0.0003063873694388762,0.001494239639308323,0.02322211530204672,0.00033186973817841666,0.0044254924872727105,0.00022650994435147062,0.004129577572793033,0.0070315229742316555,0.0015396822894020727,0.0014895388319696187,0.00015245861639041287,0.0075757503226983975,0.000415858100957778,0.0020026119881703906,0.00026632614550700255,0.0005838529763517855,0.0016916553976986232,0.002409608432050476,0.0007858424932337981,0.00025482368739540443,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.000310815929248312,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,8.258175054480698e-06,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.00015717757356440188,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.14285844251499086,6.240820862600414e-05,0.00011112236652979799,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.002006518740215395,8.575797171960726e-05,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.014502444385785181,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.00017196968932132884,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.00031308465865888366,0.0003321419857076852,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21,0.0005515508070040667,4.5374588211432415e-21,4.5374588211432415e-21,4.5374588211432415e-21
2015-12-31,7.547833302657813e-05,3.459423597051497e-05,0.42411668443952083,0.00819885358082794,0.001880149551039347,0.0007420856731993307,0.0007215807260604439,0.0011525777322949186,0.0014633361815527832,3.93116317846761e-21,0.015258267376703398,0.000790167730035168,0.04011394287776956,0.0009198921837614207,0.04323084422708117,0.0002521919802250542,0.0004680521503547106,0.009827907946169025,0.004041298646075559,0.001553438441603261,0.22556140027356258,0.0015686127314721457,0.0007295924366181607,0.00025863122551138403,0.0013364854081099903,0.019720436352665703,0.00020117727565807997,0.004338934872643699,0.00018617988813222604,0.0034831835473021554,0.006644589594957201,0.0011937448730998316,0.0012371606392428277,0.00013680447861067282,0.011176831554575687,0.00036599129191533454,0.0018672749916298652,0.00024477387530728574,0.0005108467927155089,0.0014132728184749984,0.0024090089334385945,0.0006591302678073073,0.00017171320763546523,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,0.00030159883905203497,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,7.154716984811049e-06,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,0.00011915355593935324,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,0.12551291998989672,5.9675057049138316e-05,8.385171059671413e-05,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,0.002036594120889644,7.66576819801184e-05,0.0005483972633962316,0.008234544611325247,3.93116317846761e-21,0.009816114456633622,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21,0.00016314327190640582,3.93116317846761e-21,3.93116317846761e-21,0.0019442628913169749,3.93116317846761e-21,3.93116317846761e-21,0.0002732158409034989,0.00022360456159123767,0.008880006224761023,3.93116317846761e-21,0.0010012200875975587,3.93116317846761e-21,3.93116317846761e-21,0.0004607637738218317,3.93116317846761e-21,3.93116317846761e-21,3.93116317846761e-21
2016-03-31,8.324165082015161e-05,4.508922752758212e-05,0.489667276748483,0.008516553011970587,0.0015280479078938767,0.0004912341274050664,0.001058374235151759,0.001359765372655117,0.00128764428612422,4.335502646882896e-21,0.014454756586824038,0.0007864818576577917,0.05322909039207827,0.0010145076193705976,0.035758011890749,0.0002392677200761733,0.0005924204236806664,0.00624312381151137,0.004409657084155181,0.001770966121198725,0.22949168186776994,0.0014375659676534307,0.0007387349670076703,0.00040485357266857163,0.0013843606791708834,0.02103261588669594,0.0001904586312775656,0.004346965715881254,0.00019423051858035375,0.004788562673482159,0.009693299475890189,0.0013695419311238381,0.001407382198225832,0.00019769892069786002,0.01269557436181954,0.0003830416588521039,0.002337152418363103,0.0002826964500899992,0.0007464521617191219,0.0015124531048730388,0.0025745602078037643,0.0007595713927285896,0.00021642829213239416,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,0.0003623179562000036,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,7.89061481732687e-06,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,0.00020649999107103233,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,0.03845070587467502,7.199535695413735e-05,0.0001575521661877244,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,0.004183413214030244,0.00010145076193705975,0.000623011730357072,0.007134399103646969,4.335502646882896e-21,0.010333670558845381,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21,0.00022761388896135203,4.335502646882896e-21,4.335502646882896e-21,0.00202550348159722,4.335502646882896e-21,4.335502646882896e-21,0.00024712365087232503,0.00019717866038023411,0.013524600506951192,4.335502646882896e-21,0.0008980733602859106,4.335502646882896e-21,4.335502646882896e-21,0.0005256059923895542,4.335502646882896e-21,4.335502646882896e-21,4.335502646882896e-21
2016-06-30,5.510348020306033e-05,7.013170207662223e-05,0.5032417168678156,0.014113879807737945,0.0016556341567738595,0.0005277410581265823,0.0018732762055516437,0.001249346178422113,0.0025623118294423055,4.174506075989419e-21,0.020109572602462808,0.001069078482542662,0.05514739600697973,0.0010329397834428218,0.03222309589068384,0.00025968767397514976,0.0009329687119350272,0.006929680086142436,0.0045170159505121986,0.0014457149442366553,0.20553778454403984,0.0010791933107647843,0.0007062262399115859,0.001346804197272162,0.001304199188260614,0.025054375237618103,0.00019202727949551324,0.003170520666689659,0.0001816745044270595,0.004814007010782389,0.012295423215976193,0.0011910700736013009,0.0013304902275271956,0.00019035747706511747,0.010864177109798917,0.000513672972650498,0.004209818222886213,0.00027219866868489004,0.0006959402569403478,0.0012561881938806597,0.00290758522698739,0.0007313651155011942,0.00012156161693281185,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,0.00025735829958474765,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,7.597601058300741e-06,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,7.230244523613672e-05,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,0.03748564523031913,7.517867992249343e-05,0.00010882937340104415,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,0.004006523951491605,8.766462759577779e-05,0.0009881055881866953,0.0036716116780271253,4.174506075989419e-21,0.00909708364079614,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21,0.00018618297098912806,4.174506075989419e-21,4.174506075989419e-21,0.002279071592186423,4.174506075989419e-21,4.174506075989419e-21,0.00027176034554691114,9.718250144903367e-05,0.011257077447164966,4.174506075989419e-21,0.0005301956676992641,4.174506075989419e-21,4.174506075989419e-21,0.0005376763825874372,4.174506075989419e-21,4.174506075989419e-21,4.174506075989419e-21
