,TLG_capital,RAL_capital,DCS_capital,KSD_capital,DQC_capital,GDT_capital,FBA_capital,BKG_capital,SHE_capital,XHC_capital
2014-03-31,0.30345818952881704,0.23639095842320904,0.18468099560919748,0.026729045045202706,0.19540841145546411,0.04684106042713173,0.006491339510977801,3.9775364650599276e-19,3.9775364650599276e-19,3.9775364650599276e-19
2014-06-30,0.3220940966194945,0.2136858616022831,0.16077811939156783,0.023720909706081372,0.2141722321927682,0.0594530583424049,0.006095722145399982,4.597075524434376e-19,4.597075524434376e-19,4.597075524434376e-19
2014-09-30,0.3529799012742958,0.1872891313423111,0.1314163347189902,0.031112462156837623,0.238736292950134,0.053738887534085615,0.004726990023345619,3.7575437387485053e-19,3.7575437387485053e-19,3.7575437387485053e-19
2014-12-31,0.3720545739105956,0.1780625482948243,0.11417137602604731,0.022720671845979562,0.2469908506426628,0.06053415727920669,0.0054658220006837625,3.5724326801854665e-19,3.5724326801854665e-19,3.5724326801854665e-19
2015-03-31,0.3815393286304588,0.17155894265985025,0.08209099235144747,0.020420644863544148,0.2747597766389865,0.06650595619159057,0.0031243586641222544,3.403440810590691e-19,3.403440810590691e-19,3.403440810590691e-19
2015-06-30,0.41359448034247615,0.1602497073044302,0.07724481861811941,0.01787453861347204,0.2617976423483569,0.06721303173028513,0.0020257810428601646,2.9790897689120066e-19,2.9790897689120066e-19,2.9790897689120066e-19
2015-09-30,0.4268737079308947,0.15377466979532964,0.052909855952990296,0.011486535892101015,0.29273755791460887,0.0584207342608534,0.0037969382532222797,2.6589203453937535e-19,2.6589203453937535e-19,2.6589203453937535e-19
2015-12-31,0.4723948993553651,0.1606835035181487,0.05048051531392493,0.013296009301297172,0.23954976757837076,0.06066525843871857,0.0029300464941747475,2.4622239446846617e-19,2.4622239446846617e-19,2.4622239446846617e-19
2016-03-31,0.43882988150474445,0.1976235374183418,0.04408347836566579,0.011431265308147922,0.24390332516898783,0.062320777255149395,0.0018077349789629275,2.215361493827117e-19,2.215361493827117e-19,2.215361493827117e-19
2016-06-30,0.458343014636433,0.1805593436865712,0.04400756898278513,0.007332048980123868,0.2422284948202978,0.06649082195493812,0.0010387069388508813,1.6972335602138585e-19,1.6972335602138585e-19,1.6972335602138585e-19
2016-09-30,0.4775768298843799,0.20343335882827146,0.026553304540300752,0.005466454871909574,0.21960571372084728,0.06633178556737475,0.0010325525869162527,1.5184596866415483e-19,1.5184596866415483e-19,1.5184596866415483e-19
2016-12-31,0.491132327369323,0.19431667755657836,0.021428761804920083,0.0065904830517167145,0.19496005731135746,0.06716994481278102,0.0007139689972693108,1.6153144734599794e-19,1.6153144734599794e-19,0.023687779096053865
2017-03-31,0.5023072801872603,0.20262537881796774,0.022585112022748658,0.006180005777369035,0.1667777559119324,0.0711562119748224,0.0004775459009785164,1.5606075195376354e-19,1.5606075195376354e-19,0.02789070940692076
2017-06-30,0.5290601010352729,0.22496961657458986,0.020035808352470735,0.004753999685622601,0.13159837903946203,0.06116403982624898,0.0003476042780885343,1.2779569047372584e-19,1.2779569047372584e-19,0.028070451208244356
2017-09-30,0.5445273710311077,0.2233396706001634,0.020948972472007936,0.005002739694807865,0.10512923952659076,0.06942857734450965,0.00042523287405866854,1.3896499152244071e-19,1.3896499152244071e-19,0.031198196456754028
2017-12-31,0.5404016893319008,0.23234334922908137,0.016137045531757797,0.0051381637514054685,0.1104962114739746,0.05529359989520287,0.0004094474239401232,1.3380634769285073e-19,1.3380634769285073e-19,0.039780493362736834
2018-03-31,0.5307935733510518,0.24723406377321008,0.013815866615092461,0.006469238098960474,0.09749627007990858,0.055121682325367634,0.0004124139288087302,1.347757937283432e-19,1.347757937283432e-19,0.0486568918276002
2018-06-30,0.5768850069023486,0.20018057259431818,0.00972663649595904,0.007742596215688789,0.10215299898026489,0.06440373650654646,0.0004487186443183275,1.466400798425907e-19,1.466400798425907e-19,0.03845973366055579
2018-09-30,0.5722921137968134,0.20384691914643943,0.010540302673909896,0.008040695240461944,0.0996644175055258,0.06899440909484206,0.0004457341926777817,1.4566476884894829e-19,1.4566476884894829e-19,0.03617540834932976
2018-12-31,0.5636208037620557,0.19366280596790214,0.008959083878783115,0.012876516354248812,0.10643530318170463,0.07499745358634917,0.0005051556415897611,1.650835430031899e-19,1.650835430031899e-19,0.038942877627366486
2019-03-31,0.5362188209156981,0.20546068743389137,0.009234780904099852,0.01204758592242988,0.11018027816991043,0.0769439154245855,0.0005207007474948507,1.7016364297217343e-19,0.01029319876338677,0.03910003171850304
2019-06-30,0.5455348730517882,0.20254358116387852,0.004401593990181817,0.014015025640379918,0.08109006241613569,0.07958782685530745,0.0005584111778588872,1.8248731302578015e-19,0.010660908826966076,0.06160771687750338
2019-09-30,0.5522028544920471,0.19851878012185262,0.0043818558467527665,0.010900138922270562,0.0825314918638638,0.07211386575788575,0.0005559070850357987,1.8166898203784274e-19,0.011177184119878272,0.06761792179041322
2019-12-31,0.5129364241722936,0.21615103232834446,0.0051118373367581805,0.016785137523683574,0.08294401139354791,0.07562467415215983,0.0006485166770514109,2.1193355459196437e-19,0.014672159984401691,0.07512620643175953
2020-03-31,0.42667109007420784,0.24319483181407292,0.004652293163906538,0.022528517476960348,0.10604450925250843,0.06785507168106204,0.0007869550625513547,2.5717485704292637e-19,0.016591635902124393,0.11167509557260626
2020-06-30,0.4646121485586509,0.23770310588562268,0.0063482103942207055,0.011369929064275891,0.0921090586751506,0.07990280816192462,0.0006442959803089672,2.1055424193103505e-19,0.021477585448175227,0.0858328578316703
2020-09-30,0.41174514784888366,0.2955441279780731,0.006657091347878838,0.010156756285320947,0.0802383746540355,0.08984386931198649,0.0005630375766862699,1.8399920806740847e-19,0.022090944920573057,0.08316065007656206
2020-12-31,0.3471201792209669,0.29711425448035006,0.005037770047379823,0.0076861499893688835,0.06529384415968867,0.08083824706210145,0.0004260800537584925,0.1139538572010801,0.015484389666082732,0.06704522811922277
2021-03-31,0.285339329523141,0.38938449048143403,0.006835493145122619,0.006393396573547525,0.0724290213954336,0.0887648297894192,0.00034687577154353594,0.08221953336820227,0.014326762871414964,0.053960267080741114
2021-06-30,0.2987765064398235,0.37274309810575706,0.010637387057881025,0.0056450478582453206,0.06352231228687004,0.09694758149685029,0.0003598718009631392,0.07982662176344707,0.013227052762851065,0.05831452042731129
2021-09-30,0.31697367915845515,0.35635569634492753,0.01353955064409416,0.006331929156939559,0.06909886094881487,0.09379338466087915,0.00034354083723821006,0.07097912955733301,0.013362728154339198,0.05922150053697902
2021-12-31,0.32643393201541765,0.29223844420096345,0.024087162858297068,0.009334642846368072,0.09173935616823843,0.10082087041129507,0.0003216667467329538,0.08467404068411577,0.0126811333307614,0.05766875073780996
2022-03-31,0.32871908088105556,0.28795289276748465,0.022140415600935635,0.014931623567242383,0.12236710294069351,0.09572680187673376,0.00031209541062678754,0.07083545901585504,0.013113106844537932,0.04390142109483478
2022-06-30,0.428814034085737,0.24900509835202608,0.012424983149124156,0.010035982877255685,0.07346339466151161,0.09305198481560638,0.0003708950193768405,0.04113589387457178,0.011137153220732351,0.08056057994405787
2022-09-30,0.472253681458051,0.21916158647663334,0.009504252422468929,0.00858401673058809,0.061237502405161466,0.07977412881626529,0.00037100411293219704,0.04505444849086802,0.011963063994450941,0.09209631509258068
2022-12-31,0.4895206296432081,0.21657069566500992,0.005509103986850194,0.009083952558274664,0.061238369832506793,0.08045458395693057,0.0003993806728206964,0.03233365044506799,0.011257053278034335,0.09363257996129662
2023-03-31,0.47142065787901194,0.24154112642417247,0.004694742472354157,0.009498483940749702,0.06500232985354039,0.07214903069398752,0.00039706777129363516,0.03363293783566663,0.011311241053485679,0.09035238207573797
2023-06-30,0.48493843202805725,0.26985008238216746,0.004586022139154969,0.008213770995501439,0.057424689443946166,0.06820472063671937,0.00033246215934172493,0.03461735072204588,0.011769812327284006,0.060062657165781824
2023-09-30,0.48157633697436925,0.2607254779952806,0.0034467309728732553,0.006859166115170658,0.05916030774334692,0.0654250127952028,0.00034981747187370357,0.0342962878535943,0.011937235429102001,0.07622362664918647
2023-12-31,0.46419989279025214,0.29338014522395894,0.004331005667177178,0.005171350050360809,0.05005435902911733,0.05729281261349737,0.0003663039619005573,0.035569790601023395,0.011839039814367684,0.07779530024834451
2024-03-31,0.43654983156600885,0.32800590598379314,0.004154582626357645,0.00496069567326286,0.05023393354688821,0.06799414270451615,0.0003513826101894526,0.034696391645086096,0.01175294449440865,0.06130018914948872
2024-06-30,0.42225480154291845,0.3674144282889887,0.005151747477229629,0.004869811048127509,0.04421275820010502,0.06472235188806098,0.0003267899519138197,0.030585830793502602,0.013141014242808991,0.04732046656634429
2024-09-30,0.45843867761337886,0.33909528116801496,0.004569188622081661,0.006235140123949389,0.040333562676797614,0.0658339867962248,0.00033124181908481134,0.027282202009014107,0.012199657846685698,0.045681061324768096
2024-12-31,0.5100416184068507,0.2953837965969089,0.004313492494155171,0.005763586275061637,0.035255979874047244,0.06378981958544282,1.0219124601173115e-19,0.023340889354063435,0.010576793962214174,0.0515340234512559
