,VDN_capital,TTG_capital,TNG_capital,TET_capital,NET_capital,TCM_capital,KMR_capital,PNJ_capital,GIL_capital,LIX_capital,HDM_capital,BVN_capital,GMC_capital,EVE_capital,FTM_capital,A32_capital,BBT_capital,DCG_capital,G20_capital,BMG_capital,HLT_capital,THM_capital,HSM_capital,ASA_capital,DM7_capital,BDG_capital,AG1_capital,AAT_capital,MGG_capital,ADS_capital,SGI_capital,HCB_capital,STK_capital,VDG_capital,HNI_capital,HTG_capital,LGM_capital,MPT_capital,NJC_capital,M10_capital,MNB_capital,NTT_capital,PTG_capital,HUG_capital,PPH_capital,TNV_capital,MSH_capital,SPB_capital,SSF_capital,SVD_capital,GTD_capital,TDT_capital,CET_capital,TLI_capital,NDT_capital,TVT_capital,VGT_capital,XPH_capital,VTI_capital,VGG_capital,X26_capital,X20_capital
2014-03-31,0.003326786533961597,0.0054178165841446925,0.045451123473373274,0.006506257887093809,0.03481971532398202,0.17496750854745122,0.06726141241437712,0.3686633944051776,0.07599251977088425,0.05341980159929654,0.016373936009602484,0.006666581030910336,0.035843442011070106,0.0705454352700185,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,0.027024043105787755,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,3.25199074678553e-05,1.625995373392765e-19,1.625995373392765e-19,0.0,1.625995373392765e-19,1.625995373392765e-19,0.0018146108367063257,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19,0.005873095288694666,1.625995373392765e-19,1.625995373392765e-19,1.625995373392765e-19
2014-06-30,0.003762929741590757,0.005264022037867386,0.041611589275198806,0.009615985880570034,0.036590671291551316,0.18434409890823877,0.05270475831879001,0.38247641104849406,0.06692952222863886,0.04907959868770626,0.021978679741005574,0.006152839886720869,0.03652579895796307,0.06614971665169142,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,0.028272968066426596,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,3.34393472104395e-05,1.6719673605219753e-19,1.6719673605219753e-19,0.0,1.6719673605219753e-19,1.6719673605219753e-19,0.0025397184206328804,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19,0.00596725150970293,1.6719673605219753e-19,1.6719673605219753e-19,1.6719673605219753e-19
2014-09-30,0.0031287220790563405,0.005840847242656243,0.05447514095168906,0.012082725619281082,0.029542155178671828,0.1963945970889442,0.05386623588130555,0.3863472247555925,0.06182162378553297,0.046581874666308566,0.017463957786732667,0.00497397472088785,0.036097047270306735,0.056936798540439135,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,0.027480679681263744,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,2.8301420886986347e-05,1.4150710443493175e-19,1.4150710443493175e-19,0.0,1.4150710443493175e-19,1.4150710443493175e-19,0.002982969761488361,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19,0.003955123568956342,1.4150710443493175e-19,1.4150710443493175e-19,1.4150710443493175e-19
2014-12-31,0.0028441458255696037,0.004325520014952668,0.06718358684736274,0.01000120532095819,0.025846609336953836,0.16817597634535109,0.04721011934478392,0.40380065869439674,0.08063841619025186,0.04517908278033713,0.016651181015152956,0.004843151982482839,0.0354032480376873,0.05381108465636711,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,0.009326122675431764,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354155e-05,1.2863617483354157e-19,1.2863617483354157e-19,0.0,1.2863617483354157e-19,1.2863617483354157e-19,0.0028711594222846477,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19,0.01789329191934563,0.003982575972846447,1.2863617483354157e-19,1.2863617483354157e-19,1.2863617483354157e-19
2015-03-31,0.0018655143263851988,0.0045386106122445105,0.07644119532581062,0.01089202415430136,0.024607497353387648,0.1552667763869686,0.036220525930625386,0.40932291615945365,0.06515761268321718,0.04632860177397253,0.018714999338495367,0.0047207916013376405,0.03586020186223649,0.05252370549956188,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,0.017187244290454932,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,0.005961855053764768,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-05,1.1876205286384001e-19,1.1876205286384001e-19,0.0,1.1876205286384001e-19,1.1876205286384001e-19,0.004270683420983687,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19,0.02362177231461778,0.006485595706894302,1.1876205286384001e-19,1.1876205286384001e-19,1.1876205286384001e-19
2015-06-30,0.0016936033481334944,0.003823437861695313,0.07508092540953815,0.011682822637745168,0.024948196201381816,0.1531537971464703,0.03190115601258839,0.4382729127292922,0.0666021268803035,0.04639101730380028,0.013111193987125899,0.00419411575263515,0.03710983806939569,0.0517590541956306,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,0.017093878865958544,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,0.0050997859922787304,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,2.1563577134370954e-05,1.0781788567185477e-19,1.0781788567185477e-19,0.0,1.0781788567185477e-19,1.0781788567185477e-19,0.0021056833071713237,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19,0.012895019126353829,0.003059871595367238,1.0781788567185477e-19,1.0781788567185477e-19,1.0781788567185477e-19
2015-09-30,0.0015310716009903427,0.005067117917563277,0.07217753022789361,0.007622607810278124,0.025894487255252,0.1490834672826043,0.025512011767456853,0.3310006617293799,0.07050960959916004,0.05501330915277294,0.011657022416631021,0.002568356040622328,0.03637903320840499,0.041633684978801565,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,0.014344585267032518,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,0.0033919844483361297,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,0.11609534634354313,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-06,9.747081748092328e-20,9.747081748092328e-20,0.0,9.747081748092328e-20,9.747081748092328e-20,0.018401515632223503,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20,0.01013696501801602,0.0019698852212894596,9.747081748092328e-20,9.747081748092328e-20,9.747081748092328e-20
2015-12-31,0.0014022911587809957,0.0060067839896701105,0.05789798447874013,0.007566640968112963,0.028435765102125865,0.11653077023886087,0.022858202903353324,0.3987832883459856,0.0751002439993758,0.06270780387349456,0.014570330061558688,0.0029861624179541835,0.02692634704045862,0.039894058634839025,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,0.011222614346363418,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,0.002588900153084344,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,0.10969366347940325,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-06,8.927241907187395e-20,8.927241907187395e-20,0.0,8.927241907187395e-20,8.927241907187395e-20,0.003459306239035115,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20,0.009632494017855198,0.0017274213090407607,8.927241907187395e-20,8.927241907187395e-20,8.927241907187395e-20
2016-03-31,0.0011151946642541937,0.0020004493505262786,0.045705123890834844,0.006524902599218174,0.02553016745635017,0.08656087625344676,0.0178118109181933,0.3555490307873408,0.062091193113866794,0.06334391066718022,0.012012087216119816,0.002916936601876998,0.02286736006281231,0.04804834886447925,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,0.007816820934669013,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,0.0022054886501996812,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,0.08034054452234164,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,0.017628186201865386,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-06,7.114479516773167e-20,7.114479516773167e-20,0.0,7.114479516773167e-20,7.114479516773167e-20,0.001654116487649761,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,7.114479516773167e-20,0.010081217475267577,0.001560205358028355,0.12662891344396154,7.114479516773167e-20,7.114479516773167e-20
2016-06-30,0.001805718209691101,0.0006737009147049857,0.03153463709263205,0.005053401241841392,0.027232423647363915,0.05838488878001229,0.01802711095772444,0.43710607814511765,0.07027023805119258,0.06399095460133268,0.00827853091960175,0.0017854738892029952,0.01628513282341631,0.05054206718783889,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,0.005188560272792487,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,0.0016646523478283566,5.3698462833172797e-20,0.007897110738097722,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,0.019035890280508422,5.3698462833172797e-20,5.3698462833172797e-20,0.05711185932162624,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,0.009200802018761493,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.369846283317279e-06,5.3698462833172797e-20,5.3698462833172797e-20,0.0,5.3698462833172797e-20,5.3698462833172797e-20,0.004894077902615368,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,5.3698462833172797e-20,0.005724256138016219,0.0006465294925114003,0.09766053517928604,5.3698462833172797e-20,5.3698462833172797e-20
