,VMD_capital,TRA_capital,SPM_capital,OPC_capital,NDC_capital,LDP_capital,MKV_capital,PPP_capital,PMC_capital,DCL_capital,MTP_capital,IMP_capital,DBM_capital,DMC_capital,DBT_capital,DDN_capital,DPP_capital,APC_capital,FIT_capital,DHG_capital,BIO_capital,DP3_capital,BCP_capital,AGP_capital,DHD_capital,MKP_capital,DAN_capital,DBD_capital,DHN_capital,DPH_capital,CDP_capital,GPC_capital,AMP_capital,DP1_capital,DTP_capital,TW3_capital,CNC_capital,DP2_capital,MED_capital,NDP_capital,HDP_capital,NTF_capital,PBC_capital,VHE_capital,DTG_capital,UPH_capital,DVM_capital,VDP_capital,DVN_capital
2014-03-31,0.007795217288581129,0.10052558550281332,0.015932091301189173,0.03979509714555729,0.009203813790112819,0.01390434255350588,0.003573450429873348,0.002961740078613228,0.016672660409038725,0.03695135467963782,0.00277059735486897,0.08311456844116304,0.0042597138182445225,0.05332178029434505,0.006023107687034932,0.006380318641826023,0.0006214987895858525,0.015890054651667023,0.16749392379338723,0.41280908334895455,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20,6.704409812145119e-20
2014-06-30,0.00804594849226193,0.09408396148368488,0.015398302735741585,0.04135123275318777,0.007813568898281114,0.015800465468094594,0.002810814796015661,0.0030692821540553358,0.01726662616446776,0.04129664694252115,0.003737710217400397,0.07816688087462066,0.0030022904773281027,0.051412035675017356,0.006342304074157304,0.006496916610603968,0.0006933106861294619,0.01887548976586941,0.17397121697292614,0.41036499475763544,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,0.0,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20,7.089066320342147e-20
2014-09-30,0.00865524832832447,0.08172594053845027,0.016603909888961887,0.035462529864468725,0.007448926624870122,0.012584805169311427,0.002599777122488813,0.0030669834459505713,0.016597504640978946,0.043411882187143515,0.002336031617308789,0.08171714902161094,0.0018612897079847443,0.05031403926115591,0.00825787176718657,0.0048615832190540805,0.0007837009296777872,0.01905718266297808,0.2510118721899329,0.34463330018094196,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,0.00700847163121948,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20,6.27965488523868e-20
2014-12-31,0.00940655585566036,0.07708893630280658,0.018574789587295925,0.03432291949380626,0.0071753951582991925,0.011982272754953517,0.002453676366887659,0.0028196754334491297,0.014130235137552303,0.05751466416246683,0.0025317896594664797,0.07840369023123128,0.0019788700786634553,0.047131355190269904,0.00946953661234352,0.004799280696042739,0.0008638411179304868,0.019836058884801947,0.23968521629662615,0.3528050881589684,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,0.007026152820478011,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20,6.126532751280049e-20
2015-03-31,0.009467028458120124,0.07863365458387048,0.016507397900245666,0.032844061508,0.006770178878854679,0.014314550526406072,0.0024447868173641894,0.002723856303754866,0.015167235441849437,0.053968437771358235,0.0026821746924424275,0.08745369317882282,0.0018931837185460294,0.04666410534398336,0.009312510532160109,0.005443334805138159,0.0006696187852856266,0.019509583780131227,0.2552679298291307,0.33105780098794046,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,0.0072048761565953485,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20,6.165918833200983e-20
2015-06-30,0.013453655501809608,0.09682566068292651,0.01684369913313397,0.033210959346007436,0.006533342330613851,0.01448941804602109,0.0026103085792910036,0.0026012235204273936,0.01706964059704637,0.04935622812056137,0.0024588909315641613,0.0956051027747284,0.0019813328373856757,0.05219925904103255,0.010077700295099832,0.007352972641135238,0.0006596542740099837,0.022821799532909477,0.24502700007077127,0.3014146687492079,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,0.007407482994316902,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20,6.583375988123591e-20
2015-09-30,0.016800245842265846,0.10627556283977083,0.017064087274004373,0.03798921513393281,0.007717691131386593,0.01308349125284438,0.002707191617949412,0.003064833580882837,0.017984459256766148,0.04668222692119145,0.0031224162782700314,0.1001704799045898,0.002135315680492855,0.05966430823937427,0.011050609849787448,0.009437050478148573,0.0009065433553079247,0.02440306424824215,0.1979618505483892,0.3030505659493828,7.316734102565979e-20,0.008022798943463595,0.0027569454098468607,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,0.007949046263709729,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20,7.316734102565979e-20
2015-12-31,0.01820228377841025,0.11295749788014561,0.01315889472115696,0.04410827069124474,0.007646846348342672,0.012968541901672343,0.0028499552973303924,0.003143561178898063,0.016677041784827738,0.04488199263750875,0.0026738344643493007,0.08514855205192512,0.0021010681675150355,0.0579039044885693,0.01152833602744838,0.008677313331130223,0.0010481858059844366,0.024951376418110717,0.18841876367871804,0.29473611477584766,7.115993251761281e-20,0.006211550509462421,0.0026556886815573095,0.016339316745099145,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,0.008420497134674158,7.115993251761281e-20,7.115993251761281e-20,0.012590611500071304,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20,7.115993251761281e-20
2016-03-31,0.019900853768799135,0.12221870689374677,0.011259513571660282,0.04135778473667657,0.007601983417619051,0.01008809574752344,0.0034201530453782216,0.0027602791929474107,0.016534129060183853,0.05551247326734431,0.0030873813977197995,0.09309841462657106,0.0015748110103538818,0.08457237364290794,0.009055086279060829,0.007231682523030264,0.001112936288279832,0.01985420411374776,0.12902813917052602,0.32241388362753637,6.162437919600399e-20,0.005061210263367808,0.0021593182470279796,0.01414982020471126,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,0.00818433380102129,6.162437919600399e-20,6.162437919600399e-20,0.008762432102259004,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20,6.162437919600399e-20
2016-06-30,0.016752996193811535,0.15010333128196524,0.010949748472160946,0.03399336034256502,0.0062186295947082755,0.014660862881233852,0.0027725731818170818,0.0021825696087264066,0.017979128875654025,0.0600201601357613,0.0021777302082635983,0.07538071966724283,0.0015114052570407224,0.09734529646570518,0.009226316982343446,0.007450559475021838,0.0007848902625616721,0.017505270913670736,0.09509648756314407,0.3373384749274695,5.0410421487583307e-20,0.008258739352310774,0.0012733672467763542,0.012122244465540647,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,0.010803961533218855,5.0410421487583307e-20,5.0410421487583307e-20,0.008091175111286045,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20,5.0410421487583307e-20
