,THS_capital,PSD_capital,PET_capital,COM_capital,PIT_capital,CMV_capital,BTT_capital,CEN_capital,HTM_capital,CPH_capital,HTT_capital,BSC_capital,KGM_capital,DKC_capital,DGW_capital,MWG_capital,FRT_capital,TOP_capital,PNG_capital,TV6_capital,SAS_capital,SBV_capital,AST_capital
2014-03-31,0.0036149606162299394,0.12369575675378044,0.48299571676143116,0.1471840169706665,0.051439434774796705,0.0463088220804136,0.13450470344803606,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,0.010256588594645663,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19,5.79599265068132e-19
2014-06-30,0.006420283083091018,0.10032747023332014,0.45833304035944383,0.1488938051683151,0.06580726238592395,0.054562178754130136,0.15368984100786426,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,0.011966119007911573,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19,6.392157589696354e-19
2014-09-30,0.0004247238171580491,0.018898821877202602,0.06128442140005255,0.017296689084188112,0.007508345102576155,0.0059664905730612205,0.0178187702282484,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,0.0011886450556754366,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,0.8696130928618374,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20,6.609458717056475e-20
2014-12-31,0.00034513074961341797,0.01639432515569293,0.05153989400503709,0.013552281593260216,0.006806745339597965,0.006565473380377474,0.017132091296916056,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,0.0009341145644807608,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,0.8867299439150241,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20,6.145490555794479e-20
2015-03-31,0.00039973012928837465,0.017593350919136698,0.04938141358159316,0.018778545154015534,0.006183189363719956,0.006475802268819942,0.018710057312069303,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,0.0012918760231965397,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,0.8811860352481605,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20,6.220512438350056e-20
2015-06-30,0.0004069879375442022,0.015108431464076911,0.05112741541090892,0.01681297684899179,0.006960829524995689,0.006278594701656762,0.01670139524190537,6.127490779045502e-20,6.127490779045502e-20,6.127490779045502e-20,6.127490779045502e-20,0.0013529499640132468,6.127490779045502e-20,6.127490779045502e-20,6.127490779045502e-20,0.7452871936545667,6.127490779045502e-20,6.127490779045502e-20,6.127490779045502e-20,6.127490779045502e-20,0.13996322525134047,6.127490779045502e-20,6.127490779045502e-20
2015-09-30,0.00046333765522782813,0.011371491115767586,0.051545553247177786,0.019832017273072367,0.006896640151189894,0.006635409668843415,0.01633046679180345,6.475718451821497e-20,6.475718451821497e-20,6.475718451821497e-20,6.475718451821497e-20,0.0017427453497542013,6.475718451821497e-20,6.475718451821497e-20,0.06610672424357457,0.6532128435255314,6.475718451821497e-20,0.0030758367502461744,6.475718451821497e-20,6.475718451821497e-20,0.16278693422781138,6.475718451821497e-20,6.475718451821497e-20
2015-12-31,0.00036959406036799993,0.009463612742598645,0.03657202748533817,0.024635400417547512,0.00566301310345136,0.006973783989463388,0.01725014797504976,5.3892397254009904e-20,5.3892397254009904e-20,5.3892397254009904e-20,5.3892397254009904e-20,0.002248821952615325,5.3892397254009904e-20,5.3892397254009904e-20,0.051855049068219305,0.6996134244452573,5.3892397254009904e-20,0.0034769219012397022,5.3892397254009904e-20,5.3892397254009904e-20,0.14187820285885153,5.3892397254009904e-20,5.3892397254009904e-20
2016-03-31,0.0004344962948996087,0.008993202350744349,0.0379723690810983,0.022787955022106357,0.006060914730924051,0.007012388364358797,0.018290892414322232,5.767905149337697e-20,5.767905149337697e-20,5.767905149337697e-20,5.767905149337697e-20,0.0031820379127866206,5.767905149337697e-20,5.767905149337697e-20,0.05048739663697675,0.7201013859295529,5.767905149337697e-20,0.006094599296996184,5.767905149337697e-20,5.767905149337697e-20,0.11858236196523371,5.767905149337697e-20,5.767905149337697e-20
2016-06-30,0.000376205084671954,0.007056727131423226,0.026959501423664364,0.014627985451074669,0.0041885951447227145,0.004958781227486591,0.011810115053629307,3.881203803486579e-20,3.881203803486579e-20,3.881203803486579e-20,3.881203803486579e-20,0.0011326905180095229,3.881203803486579e-20,3.881203803486579e-20,0.0266387199293062,0.8051309281409864,3.881203803486579e-20,0.003006768586561052,0.005096408714358226,3.881203803486579e-20,0.08901657359410571,3.881203803486579e-20,3.881203803486579e-20
