,VNX_capital,TPH_capital,STC_capital,SGD_capital,SED_capital,SAP_capital,QST_capital,PNC_capital,HTP_capital,HEV_capital,DST_capital,LBE_capital,IN4_capital,ALT_capital,DAE_capital,EBS_capital,ADC_capital,DAD_capital,BST_capital,EID_capital,BDB_capital,FOC_capital,FHS_capital,BED_capital,ODE_capital,ADG_capital,IBD_capital,ECI_capital,IHK_capital,NBE_capital,VNB_capital,SMN_capital,STH_capital,VEF_capital,CAB_capital,VNZ_capital,YEG_capital,VPR_capital,EPH_capital
2014-03-31,0.0003138649857452985,0.0071972488110559835,0.038453872219070546,0.018182523312141433,0.07272197605065853,0.014656051776899716,0.013016377799644105,0.04704727907016596,0.41066527652136575,0.0065208156521221515,0.09903161828967033,0.006890599112339313,0.007121488297255394,0.03398129617220004,0.011412780257531632,0.03237860054096614,0.01627047224955513,0.033403171299031253,0.0064883468604933275,0.08198369886278056,0.002539781034076899,9.019108785784442e-19,9.019108785784442e-19,0.016423797098913468,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,0.014870706566001386,0.00842835716031556,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19,9.019108785784442e-19
2014-06-30,0.0003437342578599579,0.008089607965152457,0.04329570035855039,0.019004158394326405,0.07403917385249059,0.013996305844470126,0.014255094279985382,0.056751711263223405,0.3772068628322517,0.006035104354955008,0.10241305399986173,0.007980956331920861,0.011627700240021334,0.03462530002666903,0.01195464288183641,0.030323683092818125,0.017107693523374917,0.035932082851809044,0.006942839363498977,0.08178504755978308,0.0032812793235941964,9.877421202872354e-19,9.877421202872354e-19,0.016268112721130764,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,0.016036981064983552,0.010703173615432483,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19,9.877421202872354e-19
2014-09-30,0.0003227823093033652,0.008706774532846809,0.04409317649328557,0.017660273474528948,0.07332167112192824,0.019895633719991906,0.008904339566989387,0.069420457349141,0.36613531257014476,0.005926951024277309,0.09407991273747224,0.0074944858022160665,0.012343640724739036,0.031457362126504684,0.010908743504933559,0.030423160187213732,0.02010896685545103,0.037578168043438324,0.007142022361022737,0.08431296527493073,0.003224112951547407,9.275353715613944e-19,9.275353715613944e-19,0.02109215434930611,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,0.01584415921701174,0.009602773701775116,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19,9.275353715613944e-19
2014-12-31,0.00022948605674372475,0.005179262901336823,0.03646058642919696,0.013294364666533021,0.04795862920328773,0.012859132489950095,0.005296643700475855,0.07114859090285619,0.39712166453886494,0.004154488958291569,0.19662734629709744,0.006990092532998513,0.008823343216181143,0.02439476349747302,0.008444823111092355,0.024069658250419408,0.015747491480000424,0.022563491142365767,0.005113978074849384,0.059547675068845826,0.0018860060985260141,6.594426917923126e-19,6.594426917923126e-19,0.013215231543517943,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,0.012309157284995306,0.00656409255410068,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19,6.594426917923126e-19
2015-03-31,0.00020849097467733326,0.010102825591907675,0.03442257885362316,0.012078097843376549,0.04223380106006877,0.007788455950590036,0.005770646747391017,0.06774518808222453,0.3915891865077582,0.0037983700559031403,0.2208866018786954,0.006122924601156167,0.008418721770591631,0.024280211869966338,0.007444565664771675,0.021867587861272023,0.01588845013920367,0.02075264043634525,0.005318317190260597,0.056795817239687345,0.0018123137885026816,5.991119961992336e-19,5.991119961992336e-19,0.016553464454984824,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,0.010320303246527999,0.007800438190514021,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19,5.991119961992336e-19
2015-06-30,2.6605665787386367e-05,0.009672822367826656,0.03513278167224369,0.011839521275386932,0.04129033044791193,0.009367411495975617,0.006154777352148713,0.06746531702036498,0.4981478576619051,0.0032869082941500236,0.12636360965719157,0.006462959647519272,0.007037198600763694,0.023158569213808117,0.006434691127620173,0.018679394521560845,0.01982122101160284,0.02159659491820698,0.004438711908862292,0.055040471097655544,0.0017071968880239584,5.5428470390388265e-19,5.5428470390388265e-19,0.013419232681512999,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,0.007891905614183481,0.0055639098577871735,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19,5.5428470390388265e-19
2015-09-30,3.1940335453373096e-05,0.011612308208266956,0.05583170637249618,0.0134149408904167,0.051302167551014695,0.00865050751862188,0.007048167356710997,0.06999724514606714,0.38056510438500873,0.00435852494207487,0.13777330613081432,0.007306351734959096,0.015331361017619085,0.02696762447747607,0.007775475411930514,0.026217692017977082,0.021905746731771716,0.024050407172734663,0.00597284272978077,0.06807283993500142,0.0020861031592984305,6.654236552786062e-19,6.654236552786062e-19,0.022937153397453554,6.654236552786062e-19,6.654236552786062e-19,6.654236552786062e-19,0.009354525745906646,0.007294374109164081,6.654236552786062e-19,6.654236552786062e-19,0.01414158352198094,6.654236552786062e-19,6.654236552786062e-19,6.654236552786062e-19,6.654236552786062e-19,6.654236552786062e-19,6.654236552786062e-19,6.654236552786062e-19
2015-12-31,9.293428384453643e-06,0.0035129159293234772,0.013949436005064918,0.004058130394544757,0.01724976476009402,0.0027686672062018146,0.0016975995848935322,0.023565811025878326,0.12939240339674807,0.0012468683082475305,0.10105867638346236,0.0018470688914101613,0.002811262086297227,0.009104655620394428,0.0023396205957862044,0.006950709979205953,0.007396020089294357,0.007853140597954672,0.0016377731396686119,0.020097038881381,0.0006176257613834817,1.9361309134278422e-19,1.9361309134278422e-19,0.008776481430568408,1.9361309134278422e-19,1.9361309134278422e-19,1.9361309134278422e-19,0.002369824238035679,0.002370405077309707,1.9361309134278422e-19,1.9361309134278422e-19,0.004779145546705286,1.9361309134278422e-19,0.6225396616417616,1.9361309134278422e-19,1.9361309134278422e-19,1.9361309134278422e-19,1.9361309134278422e-19,1.9361309134278422e-19
2016-03-31,5.399377721717572e-06,0.0009559148308157486,0.005142232357720773,0.0015838174650371546,0.0062837507977205635,0.0010723764086189068,0.0007223167529942174,0.006981395394180821,0.10278120446618527,0.0005054417478385616,0.049381058832969504,0.000895396805518164,0.002332531175781991,0.0033469392652496805,0.0009247184262013803,0.003472099840493383,0.0028076764152931374,0.0032038557556241646,0.0006129043627721906,0.008504019911705176,0.00021694999651290193,7.49913572460774e-20,7.49913572460774e-20,0.0043532482881347935,7.49913572460774e-20,7.49913572460774e-20,7.49913572460774e-20,0.0009705381454787336,0.0005543361127630041,7.49913572460774e-20,7.49913572460774e-20,0.0015475216481300534,7.49913572460774e-20,0.790842355418538,7.49913572460774e-20,7.49913572460774e-20,7.49913572460774e-20,7.49913572460774e-20,7.49913572460774e-20
2016-06-30,4.331684285190874e-06,0.0005407385882679942,0.004883252084171846,0.0012056521260447933,0.005734969506747501,0.000899426111994494,0.0007450496970528304,0.0073227122841151735,0.08858727531643856,0.00040248566483231876,0.03277785498603935,0.0005932000979441946,0.0011594474936694238,0.0025410742938000966,0.0007761535967117704,0.00252681583302801,0.0016676984497984864,0.0025137606178906985,0.0005327370047967389,0.006678013273002598,0.00022037443800908572,6.016228173876215e-20,6.016228173876215e-20,0.004041100464392653,6.016228173876215e-20,6.016228173876215e-20,6.016228173876215e-20,0.0009172341473891678,0.0006039089840936943,6.016228173876215e-20,6.016228173876215e-20,0.0012150374419960402,6.016228173876215e-20,0.8309096958134874,6.016228173876215e-20,6.016228173876215e-20,6.016228173876215e-20,6.016228173876215e-20,6.016228173876215e-20
