,VNG_capital,VNS_capital,STT_capital,TCT_capital,SGH_capital,RIC_capital,HOT_capital,PGT_capital,PDC_capital,MAS_capital,HHG_capital,DNT_capital,DXL_capital,DLD_capital,DSN_capital,VTG_capital,DTI_capital,ATS_capital,DAH_capital,BCV_capital,CTC_capital,BTV_capital,HGT_capital,DSD_capital,BLN_capital,GTT_capital,TSJ_capital,KLF_capital,MTC_capital,NWT_capital,ONW_capital,EIN_capital,DSP_capital,HES_capital,SCS_capital,BSG_capital,TSD_capital,TPS_capital,SKG_capital,VJC_capital,TTT_capital,VTR_capital,VTD_capital,VIR_capital,HVN_capital,VTM_capital,DLT_capital
2014-03-31,0.13016882772066865,0.16054704547145296,0.004927939156377883,0.06689866940904377,0.03574335356052292,0.10563479832645925,0.025625283613164993,0.008137417478736812,0.012556768042693645,0.016761942789469436,0.018135605829309773,0.013697775493516523,0.0019143148261314084,0.014689049408434074,0.037802663519524674,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,0.019340581721104866,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,0.05290426988553756,1.5794676783262446e-19,0.2609827100411657,0.002729320148147751,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19,0.01080166355853752,1.5794676783262446e-19,1.5794676783262446e-19,1.5794676783262446e-19
2014-06-30,0.16316987938369573,0.18537203603059663,0.004084739842759855,0.06899125594421396,0.03610846196939669,0.0932341869109937,0.024802029732757493,0.009394901638347665,0.008616248105821568,0.021557533640465348,0.014979666452271013,0.015142258245230867,0.0017615440571901874,0.014839093960026035,0.03537001759469775,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,0.013462408984895879,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,0.03748067926032383,1.5956015010780684e-19,0.23725732696220295,0.002757199393862902,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19,0.011618531890250063,1.5956015010780684e-19,1.5956015010780684e-19,1.5956015010780684e-19
2014-09-30,0.10605329494089787,0.15138477309205794,0.004782096644138243,0.08535330282627,0.043085673296314485,0.1074445543874465,0.02082755708627869,0.007020524860543378,0.007631005283199325,0.023494339065914083,0.02414653565078485,0.012069706689593597,0.0014041049721086757,0.011828058188958953,0.030686052811643896,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,0.013423447026833159,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,0.026555898385533648,1.2718342138665542e-19,0.2353943830713779,0.0021977295215614054,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,0.07561181584858051,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19,0.009605146349962991,1.2718342138665542e-19,1.2718342138665542e-19,1.2718342138665542e-19
2014-12-31,0.1591319514689179,0.1434755250746404,0.004511661805831035,0.07725500896452801,0.03572420211380955,0.14360523535155806,0.019793716263028924,0.006844286952250059,0.006659500803819746,0.02070552791362759,0.024204825606272552,1.1999100547422964e-19,0.0013247007004354952,0.011159163509103356,0.029676655437908372,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,0.009953253904087349,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,0.02087843495251596,1.1999100547422964e-19,0.20203749526935458,0.0020734445745946885,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,0.07476699546601985,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19,0.006218413867696477,1.1999100547422964e-19,1.1999100547422964e-19,1.1999100547422964e-19
2015-03-31,0.1535364834640765,0.15145121228763098,0.005295926797322044,0.08428521538007394,0.037190375733847245,0.08750168030840666,0.02624185768142433,0.008078990369384137,0.008713961184369179,0.024660510151764778,0.024376529587275722,1.3510017340107255e-19,0.0014915059143478407,0.012564316126299747,0.03681371645040506,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,0.015582454000079708,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,0.017630572628839967,1.3510017340107255e-19,0.20714342166858168,0.002334530996370534,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,0.08678700039111499,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19,0.00831973887838485,1.3510017340107255e-19,1.3510017340107255e-19,1.3510017340107255e-19
2015-06-30,0.14443772601432164,0.15498019993426576,0.005536702049300094,0.08131946389469982,0.030982367722608962,0.09545726308670854,0.025039452533161238,0.008316352465887486,0.015254179115418624,0.03177615000620759,0.037315253176294375,1.4124239921683912e-19,0.001090391321953998,0.013135543127166038,0.03817979790190064,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,0.013724523931900259,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,0.013516897605051504,1.4124239921683912e-19,0.1611943005302098,0.0024406686584669797,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,0.11656240858968472,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19,0.009740358334791657,1.4124239921683912e-19,1.4124239921683912e-19,1.4124239921683912e-19
2015-09-30,0.1375497349522257,0.15314259200709532,0.004458034933396371,0.07232340462474197,0.021075360147631346,0.08775289816264438,0.02599738266422726,0.0068806249695709774,0.014517942710731604,0.040823575027261465,0.035569692870722265,1.466458859669859e-19,0.0011321062396651312,0.013638067394929688,0.04059862023818811,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,0.016728776087569886,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,0.008292824851433053,1.466458859669859e-19,0.10187196406354578,0.0025340409095095167,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,0.20508353829539996,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19,0.010028818849510231,1.466458859669859e-19,1.466458859669859e-19,1.466458859669859e-19
2015-12-31,0.16918887383937709,0.1318401019777712,0.0036741390745838745,0.05948839399426247,0.015233899137993391,0.09340478002942118,0.021156917504478814,0.005868416577460355,0.009950793326997994,0.0416528726983528,0.0343275579184012,1.2757427342305122e-19,0.0009848733908259552,0.011864407428343762,0.04651013558466204,0.029898306719426282,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,0.01475473016701641,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,0.006104428983293,1.2757427342305122e-19,0.09284345322635976,0.002204483444750325,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,0.004120649031564554,0.19385229782316188,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,1.2757427342305122e-19,0.009027921033055643,1.2757427342305122e-19,0.0,0.002047567088439972
2016-03-31,0.14142838787522358,0.11775169807997682,0.003810847061180317,0.06062748686738329,0.013873028240694129,0.09244908978690412,0.020527076197114517,0.005211590845830379,0.012166386732484458,0.042095955584062525,0.025341617977516512,1.287448331479837e-19,0.0013234968847612722,0.011973269482762483,0.05092489000685179,0.041906443189668685,1.287448331479837e-19,0.0066689823570655555,1.287448331479837e-19,1.287448331479837e-19,0.014890112422563202,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,0.006160440266131019,1.287448331479837e-19,0.07665982344963541,0.002224710716797158,0.0,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,0.0038945312027265063,0.23569895956150538,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,1.287448331479837e-19,0.010324820639135698,1.287448331479837e-19,0.0,0.002066354572025138
2016-06-30,0.1705010891529817,0.11691948933890582,0.010264092165245133,0.059812646554523216,0.01290889661571948,0.06655453446095792,0.018628426920958053,0.004452275066415541,0.011648394069110429,0.040268892203960564,0.028123162353290727,1.1254487023295101e-19,0.000994896652859287,0.0072220043228484665,0.05118979623188521,0.03454002067449267,1.1254487023295101e-19,0.004214805390224015,1.1254487023295101e-19,1.1254487023295101e-19,0.01536372532524061,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,0.0034269912985933583,1.1254487023295101e-19,0.052121780302284274,0.0019630076266031315,0.0037404287621921268,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,0.00358455411691949,0.2714531624827174,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,1.1254487023295101e-19,0.008296582743832681,1.1254487023295101e-19,0.0,0.0018063451672388638
