,ABC_capital,MFS_capital,VGI_capital
2016-09-30,1.0,3.6691323235881184e-18,3.6691323235881184e-18
2016-12-31,1.0,2.895428697172904e-18,2.895428697172904e-18
2017-03-31,1.0,3.64458050878344e-18,3.64458050878344e-18
2017-06-30,1.0,2.4351519047758204e-18,2.4351519047758204e-18
2017-09-30,1.0,3.811789101332602e-18,3.811789101332602e-18
2017-12-31,1.0,4.6114400605020936e-18,4.6114400605020936e-18
2018-03-31,1.0,4.4603828792663565e-18,4.4603828792663565e-18
2018-06-30,1.0,9.354886992965126e-18,9.354886992965126e-18
2018-09-30,0.0016703657190932793,1.1630777344399508e-20,0.9983296342809068
2018-12-31,0.0033299455233110845,2.4436021510736504e-20,0.996670054476689
2019-03-31,0.001881610418733251,1.395397955217326e-20,0.9981183895812668
2019-06-30,0.001723580521171523,0.0018406378374451549,0.9964357816413832
2019-09-30,0.0015146367216585062,0.0011042097684347153,0.9973811535099069
2019-12-31,0.0020924573100065563,0.00158824051077713,0.9963193021792163
2020-03-31,0.002147554846782077,0.001650581880809019,0.9962018632724089
2020-06-30,0.0020111104113099848,0.0014481032941385148,0.9965407862945515
2020-09-30,0.0027008255947226782,0.0014931270108131994,0.9958060473944642
2020-12-31,0.0032297716841474837,0.001475451083158197,0.9952947772326942
2021-03-31,0.0025431930759480634,0.0014399802000934928,0.9960168267239584
2021-06-30,0.0021789602403602267,0.0017020416428598873,0.9961189981167798
2021-09-30,0.002273068667695681,0.001748856325121322,0.995978075007183
2021-12-31,0.0024019328302707157,0.001921942404870273,0.995676124764859
2022-03-31,0.001833566247016338,0.001832924242027887,0.9963335095109558
2022-06-30,0.0020601038893966624,0.002378378519817726,0.9955615175907856
2022-09-30,0.0015089386709442613,0.0018514332668287115,0.9966396280622271
2022-12-31,0.0018044909201556422,0.002851110042161033,0.9953443990376833
2023-03-31,0.0032992301995485467,0.0028396343412980815,0.9938611354591533
2023-06-30,0.0043406900693830795,0.0025294338718308716,0.993129876058786
2023-09-30,0.004003349207179862,0.0026080911067540564,0.993388559686066
2023-12-31,0.0032910906462370573,0.0022746737648273257,0.9944342355889356
2024-03-31,0.0018818168905772891,0.0012993709272404882,0.9968188121821822
2024-06-30,0.0010293585198030124,0.001142367080939359,0.9978282743992576
2024-09-30,0.0011128756057136994,0.0010497575921589277,0.9978373668021274
2024-12-31,0.0008969275055508379,0.0010298558764715343,0.9980732166179777
