,VSH_capital,UIC_capital,TMP_capital,TBC_capital,SMA_capital,SHP_capital,PPC_capital,ND2_capital,SJD_capital,SEB_capital,SBA_capital,REE_capital,NT2_capital,NBP_capital,KHP_capital,CHP_capital,HJS_capital,BTP_capital,DNC_capital,DRL_capital,GHC_capital,GSM_capital,BSA_capital,TTE_capital,BGE_capital,HIO_capital,DNH_capital,BHA_capital,HNA_capital,DTE_capital,AVC_capital,HTE_capital,TDB_capital,GEG_capital,PGV_capital,HPD_capital,HND_capital,PIC_capital,POW_capital,QPH_capital,QTP_capital,SBH_capital,TTA_capital,S4A_capital,SP2_capital,ISH_capital,SVH_capital,VCP_capital,NTH_capital,VPD_capital,DTK_capital,XMP_capital
2014-03-31,0.14756923812097447,0.0037361131877687434,0.029592111463869253,0.03005133165125104,0.005265974222066037,0.0328119526690825,0.13193367925218877,0.008386302132091055,0.021210173949988205,0.00861949744788303,0.018069207630998715,0.3753185080138755,0.052417069448183806,0.005300579409302547,0.020411947631066053,0.045064558314978034,0.006389801059454954,0.0222941580582886,0.0008828999121963519,0.0065986792166483005,0.028076217207843993,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20,6.235168871443164e-20
2014-06-30,0.14600955470140622,0.0038820214366774328,0.03760189094870152,0.03811033330698248,0.004363536078502116,0.03362572633880938,0.1333791404479083,0.010244992379248575,0.024072963174374896,0.011718056148372964,0.01884594037331368,0.3491887973500359,0.0546062247189238,0.005554308773825319,0.020487215841637898,0.04474292752872372,0.0063671243178600265,0.019767297458231237,0.0007919102217473223,0.007417928265947819,0.029222110188769523,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20,6.922292148140929e-20
2014-09-30,0.11840820125110332,0.004024830179990021,0.03656047319338373,0.03853451087999385,0.004232547875810721,0.04077982883678089,0.14764554630233717,0.009804227270982844,0.026645910887669336,0.01205050466285451,0.01813931956863798,0.34739345473385264,0.07129963877269062,0.004966155927389952,0.018906148060022252,0.043779802452316066,0.005893330007291706,0.0178128118164025,0.001530298959972368,0.007434122788502129,0.019507354069923627,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,0.004650981502091567,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20,5.996469278888589e-20
2014-12-31,0.10059581981781052,0.003698047582941333,0.04385095457781595,0.0403388561991718,0.0034730352717266067,0.04889907602804564,0.14590296327550042,0.010137675137979816,0.02801799966259172,0.015779511736507712,0.016666558311080947,0.2979088069840647,0.11801443935516008,0.004584267716606579,0.01763735089766358,0.050099453898867205,0.005970209119301592,0.018633212191788498,0.001322305452779976,0.007437692691584703,0.017844677373447377,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,0.0031870867175629375,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20,5.5096060532499e-20
2015-03-31,0.10993868852349496,0.003982039861248471,0.042202394404073106,0.039326750519124494,0.003239514276560224,0.04505290412653117,0.12569797268064384,0.010349361025522015,0.02678841749891865,0.013422409389290775,0.01610064879541925,0.2919571172856944,0.13731296747009647,0.005100099403148516,0.017397002091282785,0.05244705713181312,0.006129121585114705,0.02030801998269959,0.0013448693480784164,0.00813081942790813,0.02003389881183312,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,0.003737926361503618,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20,5.475852394456093e-20
2015-06-30,0.10640545674939468,0.004070694677924156,0.04606865722795364,0.03942092475838135,0.003238473111022099,0.04436594619996657,0.1206645577272235,0.010486874848216284,0.024954031217770595,0.013658694539150472,0.01586934878346995,0.28670327348192626,0.13090642343424913,0.004434765330549448,0.015811368718519663,0.06301082119326443,0.006259008462040666,0.01755487079854792,0.0013372736648552496,0.008414468628211639,0.019908661685532528,0.010764211949465353,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,0.0021029469432468206,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,0.0035882458691174936,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,0.0,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20,5.256578871286358e-20
2015-09-30,0.11088641460767494,0.004017993323573218,0.046560839731458546,0.04041960757841423,0.0034082159948299034,0.045613176228406466,0.09694637191597541,0.010747611675101935,0.023773821118416767,0.014156660414662113,0.014453065492094101,0.26475036837243837,0.15014168891352883,0.0038806945361692523,0.015403695648247792,0.06483500646496167,0.00703877483264303,0.013886278610051195,0.001074240702053772,0.00822751793510951,0.018768608917103434,0.012042217451404527,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,0.002194490550455196,5.2046545642140124e-20,0.00984429182893695,5.2046545642140124e-20,0.0037657757633914072,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,0.013162571392897237,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20,5.2046545642140124e-20
2015-12-31,0.12229154262341765,0.004341625861565851,0.04319604540130947,0.04002399638928627,0.003454117671469386,0.043580684482372456,0.09476136741835878,0.012503216948039618,0.022420641396923013,0.018180802976656276,0.014329518539040942,0.25008146665524167,0.155962485651274,0.004052803996879628,0.014335390891423582,0.06743036283161115,0.008529591835785931,0.013293293024854099,0.0014876626036023652,0.007438313018011827,0.019374358598428044,0.009671079266431614,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,0.0020795957237725697,4.893626985534097e-20,0.009533030049169696,4.893626985534097e-20,0.005160916891483969,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,0.012486089253590248,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20,4.893626985534097e-20
2016-03-31,0.11814085797725325,0.004156446922428089,0.039281070835367374,0.03440272963967408,0.003095777641813933,0.041670933265105604,0.09412168159101532,0.013780758392718244,0.02074630536212856,0.012162996635603943,0.013700153956836308,0.243374811761459,0.1880980388207983,0.005128853163868301,0.014591246632460137,0.06423889887816593,0.007713915426894805,0.019506273483428732,0.0015808870005231495,0.006884942533528375,0.0180402655322857,0.008545110260722499,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,0.0017853527982881802,4.727532896301285e-20,0.00990214857860578,4.727532896301285e-20,0.0039041857670814536,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,0.01144535714194541,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20,4.727532896301285e-20
2016-06-30,0.10753190939814118,0.005010915632226945,0.039596438308731524,0.03329408585274946,0.0035982526543073467,0.041887770973004404,0.07713792615655735,0.012821997075089136,0.020941862118181605,0.014272664188421692,0.012747000488423522,0.21877713952725678,0.19805943142998303,0.004823094268554113,0.011875764481335045,0.06526198573015095,0.009061611037526975,0.017616940132226245,0.0025899114503644886,0.0062513283852887415,0.01796012099390668,0.00912055263643133,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,0.0016209819424054372,4.3986267839070796e-20,0.010150667042954527,4.3986267839070796e-20,0.0036325619432218234,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,0.012807921469380635,4.3986267839070796e-20,0.01064907544383904,4.3986267839070796e-20,4.3986267839070796e-20,4.3986267839070796e-20,0.030900089239340196,4.3986267839070796e-20,4.3986267839070796e-20
