,VCB_capital,STB_capital,SHB_capital,NVB_capital,MBB_capital,EIB_capital,CTG_capital,BID_capital,ACB_capital,BVB_capital,ABB_capital,KLB_capital,LPB_capital,BAB_capital,HDB_capital,OCB_capital,MSB_capital,PGB_capital,SSB_capital,NAB_capital,SGB_capital,TCB_capital,TPB_capital,VAB_capital,VIB_capital,VBB_capital,VPB_capital
2014-03-31,0.24233036222412346,0.11908735423635636,0.049675181507576646,0.011688923458694498,0.08005909475376785,0.06486535505595352,0.1900700500334195,0.19133962971306415,0.05088404901704406,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21,3.8099887152325244e-21
2014-06-30,0.2598277318504144,0.12972191735652291,0.04564695344125879,0.011759679205754202,0.0729409730819384,0.06397486371455251,0.18357306104914287,0.18207456695331264,0.050480253347103154,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21,4.007611672880749e-21
2014-09-30,0.26462872978367125,0.12303073608873948,0.04789272919625326,0.01239401975625665,0.07591548216322293,0.06001759499026171,0.18645362185112044,0.1787639302896403,0.05090315588083411,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21,4.099332331904705e-21
2014-12-31,0.31428259903290295,0.11261401676376602,0.04098414264579118,0.01204045268477164,0.07480641135595316,0.06164355796749963,0.17364971471016188,0.15981654946487053,0.05016255537428292,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21,3.982389729251221e-21
2015-03-31,0.29995989947131496,0.10150203466346126,0.037843110619415386,0.009832636639722914,0.06784899005817359,0.05478003914161051,0.1887318088059542,0.19226711631271037,0.0472343642876368,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21,3.455810052312809e-21
2015-06-30,0.34409359636249975,0.0815119919670661,0.029116757706327767,0.00855821519651259,0.060392685247303575,0.043854860953188364,0.1775108948080555,0.20624227217605232,0.048718725582994185,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21,2.7895386120430825e-21
2015-09-30,0.31141547375768747,0.07401547384959399,0.026191580163437457,0.008555582565875183,0.06568491590319114,0.04167512877259237,0.18661916169260656,0.23837641530373055,0.04746626799128543,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21,2.8720803006080086e-21
2015-12-31,0.3322386358090115,0.07395652052121461,0.026432032619865806,0.008787343137308157,0.06674040441718086,0.04055319436143326,0.18461369617914192,0.2161159303433822,0.05056224261146176,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21,2.9946615306863836e-21
2016-03-31,0.34850682215232304,0.06530618735291902,0.029685371753856136,0.008520602345885843,0.07334884775521561,0.04272548126248432,0.1827740235118095,0.19670362627262672,0.05242903759287979,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21,3.363254052152743e-21
2016-06-30,0.3718975206283215,0.06626840121010083,0.02586200854647719,0.007742431436030594,0.07064902736641433,0.04328467238411311,0.17323022140543118,0.19062700036399655,0.050438716659114646,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21,3.1107894568638445e-21
2016-09-30,0.4087022773108733,0.05387039222681218,0.019201655775438583,0.007904183458548935,0.0696325601619329,0.038207254084555844,0.17221967463854915,0.18246628261519582,0.047795719728093294,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21,3.0660327831937426e-21
2016-12-31,0.4084099279312465,0.05895824957400477,0.022301749835325266,0.0070575399003065045,0.07410706140930497,0.0360007130930182,0.16509934156976863,0.17337089228378366,0.05469452440324164,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21,3.3094463234083356e-21
2017-03-31,0.35812519643556384,0.060187442680632613,0.023283249683245886,0.0056978139472255405,0.07146310858448958,0.039317126260116395,0.17428910475020623,0.18040317060464073,0.06414118612002043,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,2.7883223065363486e-21,0.02309260093385877,2.7883223065363486e-21,2.7883223065363486e-21
2017-06-30,0.32628984494720903,0.06333576436722295,0.027015990974628746,0.007794344012940655,0.09068624312961844,0.03800138558487638,0.17034570975883054,0.1831857813811979,0.059155915926460224,2.4345152464207447e-21,2.4345152464207447e-21,0.008369534757636252,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,2.4345152464207447e-21,0.025819485159378864,2.4345152464207447e-21,2.4345152464207447e-21
2017-09-30,0.2848336597480251,0.050206008900582605,0.02489113573189073,0.006726211824130605,0.0811716732997827,0.03222457501236646,0.14118147017204444,0.15897661025935808,0.061190783242884524,2.130532947192133e-21,2.130532947192133e-21,0.005614668044388579,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,2.130532947192133e-21,0.02164351109716208,2.130532947192133e-21,0.1313396926673839
2017-12-31,0.3109074780857766,0.03900333965256533,0.02187665516369534,0.005154758311172309,0.07167950489847348,0.024622225697798483,0.13963299347687844,0.15630080529654639,0.05573522046819667,1.610056943769462e-21,1.610056943769462e-21,0.00500550603248488,0.021495342157588526,0.022675314250310517,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,1.610056943769462e-21,0.017459335133908318,1.610056943769462e-21,0.10845152137460481
2018-03-31,0.2730898303311523,0.031826839026816635,0.02209937128241875,0.004797114542608303,0.06767886600264356,0.018442134120183525,0.13505249034940361,0.17993186889392182,0.0524943554511842,1.0891918381832214e-21,1.0891918381832214e-21,0.0032601907938867815,0.017940017771972898,0.01399307191865851,0.043176093812816244,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,1.0891918381832214e-21,0.020766792992842464,1.0891918381832214e-21,0.11545096270949043
2018-06-30,0.2568352578963437,0.02710866512460196,0.01605007832881165,0.004207814977095071,0.05839999128302073,0.021845527438151408,0.10817365907943857,0.12320370541737452,0.04576730473022717,1.2449981824520536e-21,1.2449981824520536e-21,0.00405510225503732,0.015316037360423376,0.015437051183757718,0.04028687875599144,1.2449981824520536e-21,1.2449981824520536e-21,1.2449981824520536e-21,1.2449981824520536e-21,1.2449981824520536e-21,1.2449981824520536e-21,0.1299864007354533,0.022465817902601763,1.2449981824520536e-21,0.015837319344414232,1.2449981824520536e-21,0.09502338818725604
2018-09-30,0.2574603504291686,0.029243114134938464,0.016454131068616068,0.004702393683937767,0.056520234327127335,0.019669387924070827,0.11341022510577155,0.1539237421964415,0.04649940567198523,1.1490327830405445e-21,1.1490327830405445e-21,0.0038214532298362423,0.013106897456734053,0.013269204082502446,0.039959274233573636,1.1490327830405445e-21,1.1490327830405445e-21,1.1490327830405445e-21,1.1490327830405445e-21,1.1490327830405445e-21,1.1490327830405445e-21,0.11438144506563659,0.0197626974292832,1.1490327830405445e-21,0.01595156940803536,1.1490327830405445e-21,0.08186447455234108
2018-12-31,0.2580432129372272,0.030165368837009113,0.015153311755900225,0.005658799493722528,0.05549145819021036,0.022746839139768996,0.09261331982280996,0.1753273344301678,0.047010257946566,1.3390084062425534e-21,1.3390084062425534e-21,0.004114438080281805,0.014212288784194711,0.015463071265558348,0.03630896168024539,1.3390084062425534e-21,1.3390084062425534e-21,1.3390084062425534e-21,1.3390084062425534e-21,1.3390084062425534e-21,1.3390084062425534e-21,0.1181994272013942,0.022464142329009444,1.3390084062425534e-21,0.015956159772148763,1.3390084062425534e-21,0.07107160833378534
