,VRC_capital,VPH_capital,VSI_capital,VIC_capital,VCR_capital,VC3_capital,V21_capital,V11_capital,TIX_capital,TDH_capital,TDC_capital,SZL_capital,SJS_capital,PV2_capital,PVR_capital,VHM_capital,TIG_capital,SCR_capital,QCG_capital,PXL_capital,PXA_capital,PVL_capital,IDV_capital,PTL_capital,HLD_capital,PDR_capital,PIV_capital,KDH_capital,NVT_capital,NTL_capital,NLG_capital,EFI_capital,NDN_capital,NBB_capital,LGL_capital,DTA_capital,LHG_capital,KBC_capital,ITC_capital,IJC_capital,IDJ_capital,HDG_capital,HDC_capital,RCL_capital,DIG_capital,HQC_capital,DXG_capital,CCL_capital,D2D_capital,C21_capital,HAR_capital,D11_capital,API_capital,FDC_capital,LEC_capital,AGG_capital,BIG_capital,XDH_capital,CK8_capital,AAV_capital,CLG_capital,MGR_capital,HPI_capital,DRH_capital,FIR_capital,BCM_capital,BVL_capital,BII_capital,FLC_capital,TCH_capital,DXS_capital,SSH_capital,DCH_capital,AMD_capital,MH3_capital,CEO_capital,HTN_capital,HU6_capital,CRE_capital,HD8_capital,KAC_capital,KHG_capital,KOS_capital,LSG_capital,MA1_capital,ITA_capital,HD6_capital,CKG_capital,HPX_capital,FID_capital,NRC_capital,HRB_capital,NTB_capital,NTC_capital,PLA_capital,PPI_capital,DTD_capital,LDG_capital,HD2_capital,IDC_capital,PWA_capital,TBR_capital,SID_capital,NVL_capital,SZC_capital,LMH_capital,SGR_capital,KSF_capital,TIP_capital,PXC_capital,SZG_capital,SIP_capital,STL_capital,SZB_capital,TAL_capital,TEG_capital,THD_capital,TID_capital,TLD_capital,TN1_capital,VGV_capital,VHD_capital,VNI_capital,VPI_capital,VRG_capital,VRE_capital
2014-03-31,0.0010107878036720657,0.0008760113510331442,0.0001446992568524349,0.28075318511515884,0.003213878122238998,0.0005302649763855413,0.00025625606290277723,8.37103138815739e-05,0.0009150476912820005,0.0026393164380911238,0.0017724377684108761,0.0007054088771556201,0.0085373629276532,0.000630389914740832,0.0009420613512463349,0.46043955559760386,0.0024185447216764117,0.011065037141006349,0.010417748562561873,0.001646302839670953,0.00028988967115876674,0.0009609602358854147,0.0002772655009488202,0.0017247812589349292,0.00042139885899567816,0.008172621572342931,0.00021242559881044806,0.014574403417556142,0.0026090070404289007,0.0017542151150489007,0.014188499582384483,0.00031811342919791985,0.0006073482237514906,0.004429257919243053,0.0005498828016455428,0.0003066388521590511,0.0008096979765330809,0.02494292590225679,0.002163961441406472,0.007111223196247565,0.0014573139932801552,0.005134826956437988,0.002527083400763677,0.000553093120655797,0.013892495356835897,0.01713573615294917,0.012953512637456381,0.0005706110698447897,0.00040009045554291527,0.0009939994724399491,0.0033038880643335984,0.0001673209726275745,0.001870758236989893,0.0026391028913720386,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.000845075549661603,3.559111984760795e-21,3.559111984760795e-21,0.0013868257804219675,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.021302352962388787,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.0007064125467353226,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.03372909923054065,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.0007932548791634859,3.559111984760795e-21,3.559111984760795e-21,0.0017190510886394641,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.0002882880707656244,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21,0.0002072826819924687,3.559111984760795e-21,3.559111984760795e-21,3.559111984760795e-21
2014-06-30,0.0007752913614538559,0.0007525391700783224,0.00016027070498523402,0.2656944337699562,0.0021112672486474082,0.0006051526088156033,0.00019999037014660064,5.846586227023592e-05,0.0009535503727407526,0.0023837560613670676,0.0017593893738728401,0.0006196569374780143,0.00614836597272586,0.00044232208896113006,0.0006622650946443984,0.5002436000258795,0.0020287344864585244,0.008808060023343346,0.008052616894100674,0.00127758736071997,0.00018792598586861545,0.0006573542715568853,0.0003803606486821446,0.0011472765433583995,0.00036270488630609323,0.008102626087006822,0.0003110639080905508,0.01563884479932157,0.0023446280150501023,0.0015473346194482542,0.012840928479344838,0.00026974725872828427,0.0006210373814482838,0.00444795287738117,0.0004580212556818415,0.00022676402294812933,0.0007327566732942927,0.02332964230198784,0.0017762524443331908,0.006791262317098326,0.0011539274218706219,0.005656746180187796,0.002366135100099511,0.0005493084300519296,0.01318320511496484,0.015718616673569916,0.012847126943446637,0.00042635224695213047,0.0004393639947391241,0.0009560483189726686,0.0031602422608792238,0.0001778336644053009,0.0016194811841465388,0.0019761770790526355,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.0006885979334050009,3.866789832687561e-21,3.866789832687561e-21,0.0010427417470215239,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.019684667001262566,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.0008667796088952436,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.029025671200085906,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.0005540336472274737,3.866789832687561e-21,3.866789832687561e-21,0.0016491433289530849,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.0001972062814670656,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21,0.00014879407276181735,3.866789832687561e-21,3.866789832687561e-21,3.866789832687561e-21
2014-09-30,0.0006270730605777359,0.0006356169310281076,0.00012654816726351463,0.23758368357825832,0.001962618088635125,0.0004529396952942262,0.0001671390888386042,4.8115798302022424e-05,0.0007117882192423243,0.002130326969822043,0.0013204711564088862,0.0005604857399576375,0.006534574610789772,0.0003893581046808394,0.0006571605083881484,0.5398041709921393,0.002661491014649012,0.008243327597443792,0.007033010265493511,0.001195297726239715,0.00017229435294239233,0.0006331026092371372,0.000485954488978778,0.0011926447248295784,0.00030449220729976596,0.007949242391130155,0.0004516674605270925,0.015667944989268098,0.0017734409994464091,0.001213748145137483,0.010347959645653798,0.00021031065723991758,0.0006268620263746569,0.004316728742176518,0.0005325448114699719,0.00019207730209388802,0.0005200485718733626,0.02436790236578567,0.0014369107853449143,0.0060805526115111815,0.0008787464216211463,0.005272116756807315,0.0018555333044441582,0.0004705972285432829,0.012190653026227759,0.011942250695332075,0.010364007289410794,0.00035756429459981627,0.0004777482732533329,0.0007262922985425142,0.0024148613710591902,0.0001481128480438634,0.0013082794090195765,0.002120266667883832,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.0005049144047382653,3.0147743297006533e-21,3.0147743297006533e-21,0.0009807995474558433,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.002134396915167139,0.017937304306852947,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.008748718336526152,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.0008378660817104056,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.024893112231311486,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.00047995207328834394,3.0147743297006533e-21,3.0147743297006533e-21,0.0013833292011831446,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,0.0001537534908147333,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21,9.719632438954906e-05,3.0147743297006533e-21,3.0147743297006533e-21,3.0147743297006533e-21
2014-12-31,0.0008933388290645355,0.0008673738567073462,0.00019583678662238405,0.2759637327834889,0.00244214520134802,0.0006573987056581103,0.00016915291437908362,5.624334403104531e-05,0.000949370731952607,0.002684780960948617,0.0016210487627995513,0.0005935892927276505,0.007859133371614289,0.00037710527849386954,0.0006584277192205831,0.4612703557956414,0.002319650299185167,0.0091198300424816,0.008482754354682327,0.0011643358939760257,0.00022201320012254727,0.0005990832384259212,0.000613584576814878,0.0010804290004059012,0.0003524019049564242,0.010153509406175982,0.00034689386318195536,0.017886941018292316,0.0016584033647249325,0.001384375643430817,0.012028097243515482,0.00024199438813357654,0.0010081619417564873,0.00491171431893975,0.0006315746940629035,0.0003584702657597739,0.0008774807433414965,0.03018821317049192,0.0015748629691359627,0.007014485913757583,0.0009293543037510821,0.007383344987675474,0.0021249552947348416,0.000574580733974301,0.01244444247412625,0.01339054644041991,0.01102256069595092,0.00038855834040495336,0.0005637866636254858,0.000867472529240734,0.0028531233509463015,0.00019113926922931492,0.001905659113299508,0.0022838956019082877,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.000500551665800105,3.524019049564242e-21,3.524019049564242e-21,0.0016216267019236801,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.002606766227229364,0.019541038031738678,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.008014623664138212,3.524019049564242e-21,0.009141023493045679,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.0011916822818006441,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.026452696593649027,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.0003646654912489078,3.524019049564242e-21,3.524019049564242e-21,0.0018161419814024774,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.00020086908582516181,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,3.524019049564242e-21,0.0001465991924618725,3.524019049564242e-21,0.0,3.524019049564242e-21
2015-03-31,0.0009668098319476556,0.0011988441916150933,0.00022313241253554199,0.3127934483193304,0.0034051163892496053,0.0007003837967487973,0.00022084612010276014,5.822749025616825e-05,0.0011322011994254937,0.0033350277435708845,0.0017066119046120045,0.0006861309524337955,0.00838940820224355,0.0003589965564666012,0.000778433928842383,0.3906271366218593,0.00295084143324381,0.008203979346298972,0.008954860208358343,0.001071476623817209,0.00024322259923211466,0.0006283250480162962,0.0007742099630357185,0.0010022797943356726,0.0005164426523695235,0.012918423792864859,0.0010568467844733974,0.0222969615542456,0.0015041290907512688,0.0015133310124222175,0.014085604455769916,0.00033139079145375625,0.0012207342255459836,0.005520009856352612,0.0008726421489449553,0.00041235148731815283,0.0012181398511541743,0.03494358003875858,0.0018854413206974168,0.006629603515179481,0.0008439824193354379,0.006966272237036574,0.0023937319622826772,0.0006829204141239315,0.013128219499542505,0.013930720304578906,0.01644809447518123,0.00032857751672263813,0.0006313329008268,0.0010837066668485972,0.0029677413501804552,0.00021986917599584445,0.002175050523313083,0.002318932905598828,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.000678915348656576,4.053709987201912e-21,4.053709987201912e-21,0.0019004724773299616,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.00195539619394656,0.02308263540912512,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.009086735501661995,4.053709987201912e-21,0.011697936843628094,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.0010429385055073079,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.026244812958841717,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.0003226753149812721,4.053709987201912e-21,4.053709987201912e-21,0.0017131991833412076,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.00022254867829738493,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,4.053709987201912e-21,0.0001686343354675995,4.053709987201912e-21,0.00042836364176760034,4.053709987201912e-21
2015-06-30,0.0010846297484975818,0.0011294662035939255,0.0002288721534083207,0.3431743699973936,0.003047656828524895,0.001314922614111681,0.0001869840580508507,4.812089729249835e-05,0.000995644279694787,0.0029182116148080747,0.0015620196025898272,0.0007340040867015748,0.007529809062695664,0.0003100360668416679,0.000654100482483031,0.3758373456231967,0.002942737995951918,0.009127044760042167,0.007007766071211047,0.0010094694898692986,0.00021768977346606395,0.0005155810424196251,0.0007115820400345702,0.0008687349608829046,0.00047433455902605513,0.013004443346167713,0.0007360282196829259,0.020813544569101505,0.0013479579920148642,0.0015003026422527818,0.014284482128861168,0.0003455156807978036,0.0013061730128658782,0.005858765074787667,0.0008221417111235014,0.0003753544562379853,0.001147645209237758,0.03189532510218512,0.0018202798754160666,0.006577714195050588,0.0008746545950736486,0.0070383457557047805,0.0021325654032502174,0.0006508313167622073,0.012368479859021352,0.011340835182627058,0.016349487319960252,0.0005007628613486018,0.000617941065374668,0.0010230655529138459,0.0024707101847008363,0.0001987813161251783,0.001586668195536318,0.0025709696922978737,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.0005748537667037183,3.819118832737964e-21,3.819118832737964e-21,0.0019416667483958103,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.0016218728329364968,0.020038534603492822,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.01138328468845294,3.819118832737964e-21,0.011454377585524355,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.0008460112038281138,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.023292614804927204,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.0009452089963896495,3.819118832737964e-21,3.819118832737964e-21,0.00028880176613164477,3.819118832737964e-21,3.819118832737964e-21,0.0013834757971593274,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.00043767101823177063,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.00017758902572231533,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,3.819118832737964e-21,0.00019859417930237413,3.819118832737964e-21,0.00022453745353316311,3.819118832737964e-21
2015-09-30,0.0010450276753101854,0.001109819391179417,0.000308681457783321,0.3397245411945001,0.0024015919028826526,0.0027056200298853474,0.00017130566873763944,3.3125405557002103e-05,0.000997311317305456,0.002404379957850367,0.0012540332103722226,0.0007428372196157722,0.007074344424267263,0.0002619273139400095,0.000695870126736737,0.3880776917425554,0.0029087891839682935,0.008965816912074067,0.005869076543075741,0.0008143328866096351,0.00011830501984643609,0.00039435006615478696,0.0007234312528602952,0.0006630207662260433,0.0003919839657578582,0.012601637765006649,0.0009517047321546551,0.021411658796444945,0.0009279057056622137,0.0015635980123037303,0.015994018435100555,0.0003782605834556717,0.0013006453881917184,0.0056228246442653835,0.0008590719016148958,0.00039400303809657074,0.001206711202433648,0.026758954992988637,0.0020913448753366974,0.0055854757494998636,0.0007663010485519821,0.006365756507897033,0.0021035263488802186,0.0006616129364898707,0.012867504636107543,0.010732442112436928,0.0184451052147863,0.0003878038550566175,0.0006177533221321354,0.0008936445719146859,0.002049244062274012,0.0002035280126431471,0.0016814574165754115,0.002846497647518483,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.00045145195573400014,3.94350066154787e-21,3.94350066154787e-21,0.002190271532932287,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.001547271919564922,0.015399370083344431,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.006963433468161228,3.94350066154787e-21,0.01568465869520345,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.0007987954940031365,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.0192409706877979,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.0007548846141368008,3.94350066154787e-21,3.94350066154787e-21,0.00017264645896256572,3.94350066154787e-21,3.94350066154787e-21,0.0012952033572787823,3.94350066154787e-21,0.006334736931693297,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.0004566573766072433,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.00017745752976965412,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,3.94350066154787e-21,0.00013534094270432288,3.94350066154787e-21,0.00026964080123399715,3.94350066154787e-21
2015-12-31,0.0010070103143877338,0.0013872332408529967,0.00032008427049002745,0.38027590729192357,0.002114721660214241,0.0027434505640228516,0.0001672442730135148,3.721910121977065e-05,0.001348588213028053,0.0025285585909737666,0.0013574499037946651,0.0008390369659066022,0.008409692172978493,0.00031213291704762193,0.0006898826261807486,0.3269400611590393,0.0035404226950768486,0.010354813156043554,0.005097325089780406,0.0008650621404716388,0.00019334598036244488,0.0003222433006040748,0.0008661940200650106,0.0006772345766320386,0.00043100041455795005,0.011887063938250899,0.000894060009484748,0.02512888302069516,0.000984251881282571,0.0015234052036057636,0.018258885450167964,0.0003688074575413636,0.0011639065494106003,0.00540837043568849,0.0008007343215885503,0.00027777775316197007,0.001645454853709557,0.0284457051175241,0.002016429397447483,0.004670670931739353,0.0006429559455302802,0.007504651723025662,0.0023713884491453866,0.0006976325775602767,0.010686655278964369,0.011403811772499998,0.020001734313443847,0.00041532327798356184,0.0006724935720719013,4.0280412575509354e-21,0.001545789028873974,0.00021847692976830515,0.0016870161834049674,0.0029230689797795626,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.00044405126823241506,4.0280412575509354e-21,4.0280412575509354e-21,0.006462545085160887,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.002184729017270476,0.019418784098527302,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.005690172202066753,4.0280412575509354e-21,0.014976064049594012,4.0280412575509354e-21,0.00015709360904448647,4.0280412575509354e-21,4.0280412575509354e-21,0.0006428753847051293,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.021165262226976234,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.0009640834787060133,4.0280412575509354e-21,4.0280412575509354e-21,0.00014428443784547448,4.0280412575509354e-21,4.0280412575509354e-21,0.0010311382815204639,4.0280412575509354e-21,0.0054075970517670395,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.0004398621053245621,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.00019334598036244488,4.0280412575509354e-21,4.0280412575509354e-21,0.003031439401772713,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,4.0280412575509354e-21,0.0001340532130512951,4.0280412575509354e-21,0.0004413001160535078,4.0280412575509354e-21
2016-03-31,0.0008847967800702086,0.0013573065741246623,0.0003116041908180058,0.34508613969135454,0.002229687885776926,0.0034606596364560433,0.00017327860140894965,3.8647923353466716e-05,0.0011371408217462323,0.0021498898337759535,0.0012104019951360455,0.0007159527801229708,0.006066856865649806,0.00031343041137207064,0.0006428933403990136,0.4039232639535982,0.0023638938613779747,0.009098124624737778,0.004303446265408519,0.0005846737122703938,0.00012741073633011003,0.00038931058323089183,0.0007102476104850781,0.0007350537730111266,0.0003149876537049943,0.011680442958431002,0.0005639093014357063,0.023438992237419486,0.0007046521556479142,0.0011226301545530807,0.016288075278453423,0.00031247483084959483,0.000913534979486889,0.004209417141996898,0.0007509447231811875,0.00025623714750833246,0.0022102223566153813,0.024232785899065912,0.0016868579828296121,0.0045048507868623395,0.0006140489653687248,0.005570269981616081,0.001982567684290437,0.0005898444646531242,0.007425412772827927,0.010774871149964747,0.015151111416063203,0.0005104640367323453,0.0005951674020820265,3.539187120280835e-21,0.0013886708503845911,0.0001759436093105211,0.0012233235673121908,0.003688540816756686,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.00032263229788480086,3.539187120280835e-21,3.539187120280835e-21,0.008852264373866107,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.0026955864782906946,0.013820525704696659,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.005450949827042933,3.539187120280835e-21,0.011265076879620603,3.539187120280835e-21,0.00013802829769095254,3.539187120280835e-21,3.539187120280835e-21,0.0007330364363525664,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.01593993251980563,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.0009397426601125685,3.539187120280835e-21,3.539187120280835e-21,0.00019720350634204806,3.539187120280835e-21,3.539187120280835e-21,0.0008376194157568652,3.539187120280835e-21,0.0035725545764508423,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.0003822322089903301,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.00015926342041263755,3.539187120280835e-21,3.539187120280835e-21,0.0034416471232458948,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,3.539187120280835e-21,0.00017667622104441927,3.539187120280835e-21,0.00017966329497393627,3.539187120280835e-21
2016-06-30,0.0009570333949044951,0.0013398014495103214,0.0003044838554865378,0.4275806015695973,0.0022991453155693786,0.004083825720722878,0.00021247273950779087,2.8541114262240565e-05,0.0016082691369992698,0.002540079888466459,0.0012307411705675163,0.000925524910826101,0.007176772664350656,0.00026468485726530237,0.0006074047451920481,0.2871906886472156,0.001966105244701943,0.010810475565976618,0.004403576807171917,0.0006236762005452567,0.00010759547043304974,0.00043415716139651644,0.001061219787800666,0.0008587628652423097,0.00033146955452707956,0.011536688362204738,0.000578667316387263,0.024888047951216314,0.0007174919002035476,0.001174489503569185,0.017229349511876536,0.00032097427706027676,0.0008824414192969091,0.004535613438151758,0.0008846424073412063,0.0002664969915041748,0.0022764936375834735,0.03152920281319192,0.002070922109302055,0.005347211734547748,0.0005764096991480013,0.006513184207194233,0.002195642248292449,0.0005405067895403415,0.009854884327903891,0.010884131272227452,0.015182309821730952,0.0005062650029849814,0.0007126557669535567,3.775279664317535e-21,0.0017450512945171583,0.00017527868425493452,0.0009302779879234767,0.004007459363673063,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.00032014371553412696,3.775279664317535e-21,3.775279664317535e-21,0.017984250658273804,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.0036813884590659574,0.013589874207643831,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.007086124424330726,3.775279664317535e-21,0.010731247546941249,3.775279664317535e-21,0.00016139320564957462,3.775279664317535e-21,3.775279664317535e-21,0.0006559925944718148,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.015232083108825312,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.001917207822489702,3.775279664317535e-21,3.775279664317535e-21,9.015367838390273e-05,3.775279664317535e-21,3.775279664317535e-21,0.0008205570350394161,3.775279664317535e-21,0.004584654320991242,0.00016411140700788322,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.0005549661106546776,3.775279664317535e-21,0.0019091589262453773,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.00016422466539781275,3.775279664317535e-21,3.775279664317535e-21,0.0030281971221050663,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,3.775279664317535e-21,0.0001295675980793778,3.775279664317535e-21,0.00018480371484800762,3.775279664317535e-21
