,WSS_capital,VND_capital,VIX_capital,VIG_capital,VDS_capital,SSI_capital,SHS_capital,PHS_capital,PSI_capital,OGC_capital,ORS_capital,IVS_capital,APS_capital,HCM_capital,BVS_capital,HAC_capital,HBS_capital,CTS_capital,BSI_capital,APG_capital,AGR_capital,BMS_capital,DSC_capital,DSE_capital,AAS_capital,BCG_capital,TIN_capital,ABW_capital,EVF_capital,ART_capital,IBC_capital,FTS_capital,EVS_capital,SBS_capital,TVB_capital,CSI_capital,TVS_capital,VUA_capital,TCI_capital,MBS_capital,TVC_capital,VCI_capital,VFS_capital
2014-03-31,0.00888094308568543,0.07673764810815596,0.04590431974322414,0.007847430274924388,0.015234014654285363,0.3449211980386338,0.051188745718464004,0.007638117702702915,0.014689750789841503,0.10056215266875194,0.025019249463969186,0.015751615474688292,0.01660836407409164,0.12620166334918184,0.024442130178653404,0.0035715173081154504,0.005058045984232111,0.020661070003310363,0.026888246968569264,0.021627464613956867,0.04056631179656231,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20,2.5588334012405078e-20
2014-06-30,0.006789472225584744,0.08219175800403702,0.09466404231925335,0.006087578476617734,0.014794909317424124,0.3364074786147132,0.04974473784311554,2.8719056831710774e-20,0.011334837350339607,0.0930497441347429,0.017755269695636868,0.012696063206049036,0.012657349917439888,0.12406632551299054,0.01913855178699305,0.002725438493329352,0.004880803708549247,0.016484221678379013,0.023834864274455386,0.01688875831291049,0.03823000432078209,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,0.015577790806656557,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20,2.8719056831710774e-20
2014-09-30,0.006088918955481457,0.06397560613567703,0.10826451466240873,0.005356439751826819,0.0269180968340248,0.33028204469182915,0.05702063958293405,2.2840012586674138e-20,0.010243745645123349,0.08359444606722734,0.01565545822740992,0.012015034301245103,0.011127882532353505,0.10787794744937927,0.01874968609257701,0.0024342885414877294,0.0036253951978827853,0.016743807667177524,0.02670097967437588,0.01761924250961216,0.03374940755862352,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,0.014732721718908286,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,2.2840012586674138e-20,0.027223696202434502,2.2840012586674138e-20,2.2840012586674138e-20
2014-12-31,0.0072157811426160606,0.06922277843924919,0.09632427691763937,0.0050049517651867504,0.026243313411779344,0.348389032673097,0.05634778294928159,2.7066961036108112e-20,0.011977671597698561,0.057652627006910276,0.015824428100150247,0.020381150990579047,0.010468959189545896,0.10192334847756872,0.019014702529632166,0.0024659084182335933,0.0039926474224363075,0.01605917985321641,0.033212514539356454,0.016885561240609828,0.03253264661205149,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,0.015475264302784451,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,2.7066961036108112e-20,0.03338547242037719,2.7066961036108112e-20,2.7066961036108112e-20
2015-03-31,0.00866254405503741,0.06508969210110431,0.09310958073690594,0.005222646444918525,0.024676403175359535,0.3373255049953786,0.04901656638061129,2.9692685456356387e-20,0.012429358132030782,0.04097590592977181,0.015264415739403691,0.023945012947198564,0.00985797157151032,0.11587273572488516,0.021459557018388798,0.0022976200006128568,0.004135003376652189,0.017396291169799162,0.03709685350175341,0.018921960733917668,0.03332214117042865,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,0.011752958757334984,2.9692685456356387e-20,2.9692685456356387e-20,0.014876035413634548,2.9692685456356387e-20,2.9692685456356387e-20,2.9692685456356387e-20,0.03729324092336175,2.9692685456356387e-20,2.9692685456356387e-20
2015-06-30,0.011381020524032264,0.07995926514787918,0.06953662933994337,0.004494818931281984,0.018916380960456638,0.36784453890139585,0.0429326184433408,2.693605160473413e-20,0.012080819144723257,0.021818201799834645,0.013847285408961723,0.02671318271375656,0.00894276913277173,0.12916375465502108,0.02113979040411781,0.0019820624212827562,0.003448892047470158,0.016542264308066976,0.031489429512204806,0.01909259661005481,0.032897484673790674,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,0.011056710462711264,0.0104173832778729,2.693605160473413e-20,0.014304659565210109,2.693605160473413e-20,2.693605160473413e-20,2.693605160473413e-20,0.029997441613818582,2.693605160473413e-20,2.693605160473413e-20
2015-09-30,0.00923803837601438,0.06115895920641578,0.0472114496761877,0.003313205015970168,0.02002730501511845,0.3333301881761328,0.030243647981976467,2.2957351829061583e-20,0.009609947475645177,0.016529293316924338,0.011801915428283979,0.02388267085188374,0.005506779983237001,0.10760569949317744,0.015298917002997613,0.0013340058000831103,0.0031288574807828025,0.01269918056717102,0.02494309389021992,0.013500483975412585,0.01854380093992449,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,0.18651117376784626,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,0.006731095556280855,0.007257323974906604,2.2957351829061583e-20,0.013303555811422896,2.2957351829061583e-20,2.2957351829061583e-20,2.2957351829061583e-20,0.017289411235984566,2.2957351829061583e-20,2.2957351829061583e-20
2015-12-31,0.008935349632017536,0.05977774147561499,0.04022707119700518,0.003373311862751834,0.020845019763863028,0.32057399313524493,0.03345338057060721,2.3373834969178447e-20,0.011741144781717717,0.03085346215931555,0.013665278876380487,0.024899912654316108,0.005412678963812653,0.09474817743106174,0.01436139842943256,0.0012694797248460198,0.0027999516909578857,0.012234426194907258,0.0248741313143451,0.012856918167806418,0.015657991802842827,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,0.18886610277601457,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,0.00685320841296312,0.007310377251125282,2.3373834969178447e-20,0.014442692627455362,2.3373834969178447e-20,2.3373834969178447e-20,2.3373834969178447e-20,0.029966799103594736,2.3373834969178447e-20,2.3373834969178447e-20
2016-03-31,0.007347160956058177,0.06341306976675996,0.05128703530938115,0.004025763806384428,0.021690922504465988,0.3529397651278022,0.035634460970973225,2.7049410779980038e-20,0.012940438117142449,0.026778916672180235,0.016723027720614857,0.0278017630914144,0.006061772955793527,0.10322055153640382,0.017596236799414175,2.7049410779980038e-20,0.0029367545283824326,0.013756086049801965,0.029087367486965294,0.018870534541259032,0.01707147823028256,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,0.07785507477512066,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,2.7049410779980038e-20,0.009120520326793667,0.00827801232922963,2.7049410779980038e-20,0.01784314382101383,2.7049410779980038e-20,2.7049410779980038e-20,0.03195941982476201,0.025760722751600223,2.7049410779980038e-20,2.7049410779980038e-20
2016-06-30,0.007420408253585528,0.06778816950013325,0.05379058368714957,0.0030802261637278856,0.021641628047733535,0.3510981108720237,0.03265733638159618,2.731907905745353e-20,0.013069447421085768,0.02212845403653736,0.01688974743648007,0.03274295437536224,0.005918132096216158,0.11093731623650728,0.018067527572805008,2.731907905745353e-20,0.0024341299440191096,0.013893226930984222,0.028097426938879438,0.026755431818340145,0.015064395850177255,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,0.06997459735433843,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,2.731907905745353e-20,0.006808460882698568,0.009891774102359946,2.731907905745353e-20,0.01792978477619733,2.731907905745353e-20,2.731907905745353e-20,0.027944412777078643,0.023976316543983515,2.731907905745353e-20,2.731907905745353e-20
