index,ticker,time,price_to_earning,median_vol,raise_from_lowest_price,raise_from_highest_price
0,AAS,2022-09-30,3.5,674949.0,x2,N
1,AAS,2022-12-31,3.7,674949.0,x2,N
2,AAT,2022-12-31,3.5,238949.5,x1.5,N
3,AAT,2023-03-31,3.5,238949.5,x1.5,N
4,ABC,2017-06-30,1.3,9250.0,x2,N
5,ABC,2017-09-30,0.9,9250.0,x2,N
6,ABC,2017-12-31,0.8,9250.0,x2,N
7,ABC,2018-03-31,0.8,9250.0,x2,N
8,ABC,2022-12-31,0.1,9250.0,x2,N
9,ABC,2023-03-31,0.3,9250.0,x2,N
10,ABC,2023-06-30,0.4,9250.0,x2,N
11,ABC,2023-09-30,0.4,9250.0,x2,N
12,ABI,2019-09-30,3.9,23017.5,x2,x2
13,ABI,2020-03-31,3.8,23017.5,x2,x2
14,ACL,2018-06-30,3.4,38266.5,x2,x2
15,ACL,2018-09-30,2.4,38266.5,x2,x2
16,ACL,2018-12-31,2.7,38266.5,x2,x2
17,ACL,2019-03-31,2.9,38266.5,x2,x2
18,ACL,2019-06-30,2.9,38266.5,x2,x2
19,ACL,2019-09-30,3.5,38266.5,x2,x2
20,ACL,2019-12-31,3.9,38266.5,x2,x2
21,ADP,2020-06-30,3.8,900.0,x2,x2
22,AGM,2015-12-31,2.7,107000.0,x2,N
23,AGM,2016-03-31,3.5,107000.0,x2,N
24,AGM,2016-06-30,3.8,107000.0,x2,N
25,AGM,2016-09-30,3.6,107000.0,x2,N
26,AGM,2019-06-30,3.8,107000.0,x2,N
27,ANV,2017-06-30,3.6,1446744.0,x2,x2
28,ANV,2019-03-31,3.9,1446744.0,x2,x2
29,ANV,2019-09-30,3.7,1446744.0,x2,x2
30,ANV,2019-12-31,3.7,1446744.0,x2,x2
31,ANV,2020-03-31,2.6,1446744.0,x2,x2
32,APF,2019-12-31,3.5,9100.0,x2,N
33,APF,2020-03-31,2.8,9100.0,x2,N
34,APF,2020-06-30,3.1,9100.0,x2,N
35,APF,2020-09-30,2.5,9100.0,x2,N
36,APF,2020-12-31,2.8,9100.0,x2,N
37,APF,2022-12-31,3.5,9100.0,x2,N
38,ASM,2018-03-31,3.6,2520350.0,x2,x1.5
39,ASM,2018-06-30,2.8,2520350.0,x2,x1.5
40,ASM,2018-09-30,2.7,2520350.0,x2,x1.5
41,ASM,2018-12-31,1.7,2520350.0,x2,x1.5
42,ASM,2019-03-31,2.3,2520350.0,x2,x1.5
43,ASM,2019-06-30,3.5,2520350.0,x2,x1.5
44,ASM,2019-09-30,3.5,2520350.0,x2,x1.5
45,ASM,2019-12-31,2.7,2520350.0,x2,x1.5
46,ASM,2020-03-31,1.7,2520350.0,x2,x1.5
47,ASM,2020-06-30,2.4,2520350.0,x2,x1.5
48,ASP,2017-03-31,3.2,38791.5,x2,x2
49,ASP,2017-06-30,3.1,38791.5,x2,x2
50,ASP,2017-09-30,3.9,38791.5,x2,x2
51,ASP,2018-12-31,3.4,38791.5,x2,x2
52,ASP,2019-03-31,3.2,38791.5,x2,x2
53,ASP,2019-06-30,2.9,38791.5,x2,x2
54,ASP,2019-09-30,3.1,38791.5,x2,x2
55,AVC,2022-06-30,3.7,637.0,x2,x2
56,AVC,2022-09-30,3.5,637.0,x2,x2
57,AVC,2022-12-31,3.8,637.0,x2,x2
58,AVC,2023-03-31,3.5,637.0,x2,x2
59,BCA,2023-12-31,0.3,42875.5,x2,N
60,BCA,2024-03-31,1.0,42875.5,x2,N
61,BCA,2024-06-30,0.8,42875.5,x2,N
62,BCA,2024-09-30,0.5,42875.5,x2,N
63,BCC,2015-09-30,3.8,285081.0,x1.5,x1.5
64,BCE,2016-03-31,3.7,42995.5,x1.5,x2
65,BCE,2016-06-30,3.6,42995.5,x1.5,x2
66,BCE,2018-12-31,3.6,42995.5,x1.5,x2
67,BDG,2017-06-30,3.1,3200.0,x2,N
68,BDG,2017-09-30,2.7,3200.0,x2,N
69,BDG,2017-12-31,2.9,3200.0,x2,N
70,BDG,2018-03-31,2.4,3200.0,x2,N
71,BDG,2018-06-30,2.0,3200.0,x2,N
72,BDG,2018-09-30,3.5,3200.0,x2,N
73,BDG,2018-12-31,2.5,3200.0,x2,N
74,BDG,2019-03-31,2.6,3200.0,x2,N
75,BDG,2019-06-30,2.9,3200.0,x2,N
76,BDG,2019-09-30,2.6,3200.0,x2,N
