index,ticker,time,price_to_earning,median_vol,raise_from_lowest_price,raise_from_highest_price
12,ABI,2019-09-30,3.9,23017.5,x2,x2
13,ABI,2020-03-31,3.8,23017.5,x2,x2
14,ACL,2018-06-30,3.4,38266.5,x2,x2
15,ACL,2018-09-30,2.4,38266.5,x2,x2
16,ACL,2018-12-31,2.7,38266.5,x2,x2
17,ACL,2019-03-31,2.9,38266.5,x2,x2
18,ACL,2019-06-30,2.9,38266.5,x2,x2
19,ACL,2019-09-30,3.5,38266.5,x2,x2
20,ACL,2019-12-31,3.9,38266.5,x2,x2
21,ADP,2020-06-30,3.8,900.0,x2,x2
27,ANV,2017-06-30,3.6,1446744.0,x2,x2
28,ANV,2019-03-31,3.9,1446744.0,x2,x2
29,ANV,2019-09-30,3.7,1446744.0,x2,x2
30,ANV,2019-12-31,3.7,1446744.0,x2,x2
31,ANV,2020-03-31,2.6,1446744.0,x2,x2
48,ASP,2017-03-31,3.2,38791.5,x2,x2
49,ASP,2017-06-30,3.1,38791.5,x2,x2
50,ASP,2017-09-30,3.9,38791.5,x2,x2
51,ASP,2018-12-31,3.4,38791.5,x2,x2
52,ASP,2019-03-31,3.2,38791.5,x2,x2
53,ASP,2019-06-30,2.9,38791.5,x2,x2
54,ASP,2019-09-30,3.1,38791.5,x2,x2
55,AVC,2022-06-30,3.7,637.0,x2,x2
56,AVC,2022-09-30,3.5,637.0,x2,x2
57,AVC,2022-12-31,3.8,637.0,x2,x2
58,AVC,2023-03-31,3.5,637.0,x2,x2
64,BCE,2016-03-31,3.7,42995.5,x1.5,x2
65,BCE,2016-06-30,3.6,42995.5,x1.5,x2
66,BCE,2018-12-31,3.6,42995.5,x1.5,x2
82,BDT,2018-06-30,2.8,31218.5,x2,x2
83,BDT,2018-09-30,3.1,31218.5,x2,x2
84,BDT,2018-12-31,3.1,31218.5,x2,x2
85,BDT,2019-03-31,3.5,31218.5,x2,x2
86,BDT,2019-06-30,3.9,31218.5,x2,x2
89,BLI,2019-06-30,3.6,5900.0,x2,x2
90,BMS,2019-12-31,3.6,131737.0,x2,x2
91,BMS,2021-06-30,3.6,131737.0,x2,x2
124,C4G,2019-09-30,3.9,1319723.0,x2,x2
125,CAP,2015-03-31,3.0,20750.0,x2,x2
126,CAP,2015-06-30,2.9,20750.0,x2,x2
127,CAP,2015-09-30,2.6,20750.0,x2,x2
128,CAP,2015-12-31,2.3,20750.0,x2,x2
129,CAP,2016-03-31,3.3,20750.0,x2,x2
130,CAP,2018-06-30,3.2,20750.0,x2,x2
131,CAP,2020-06-30,3.8,20750.0,x2,x2
138,CCL,2018-12-31,3.4,261623.0,x2,x2
