index,ticker,time,price_to_earning,median_vol,raise_from_lowest_price,raise_from_highest_price
62,BCA,2024-09-30,0.5,42875.5,x2,N
174,CNT,2024-09-30,3.8,6618.5,x2,N
191,CST,2024-09-30,3.0,82196.0,x2,N
228,DC4,2024-09-30,3.8,133157.0,x1.5,N
252,DS3,2024-09-30,3.6,3700.0,x2,N
301,GPC,2024-09-30,3.1,37705.0,x1.5,N
313,HBC,2024-09-30,1.8,1530685.5,x1.5,N
538,KHP,2024-09-30,3.6,74677.0,x1.5,N
583,LPT,2024-09-30,3.1,4600.0,x1.5,N
679,NTL,2024-09-30,2.2,1038685.0,x2,N
961,SJE,2024-09-30,3.7,3754.0,x2,N
975,SLS,2024-09-30,3.5,11534.0,x2,N
1000,SRA,2024-09-30,3.0,270425.0,x2,x1.5
1157,TMB,2024-09-30,3.8,11056.5,x2,N
1189,TVC,2024-09-30,3.3,354811.5,x1.5,N
1331,VLG,2024-09-30,3.0,11803.0,x1.5,N
1385,VPH,2024-09-30,3.9,233628.0,x2,N
1393,VRG,2024-09-30,2.7,9000.0,N,N
